GoodReadAverageRating,bookEdition,Language,author,description,bookformat,id,numberofpages,title,NumberofRatings
4.11,1st edition,English,Stieg Larsson,A Sensational #1 Bestseller – Now a Major Motion Picture In Theaters March 2010.,Hardcover,2429135,465 pages,Män som hatar kvinnor,1949550
4.38,First American Edition,English,J.K. Rowling,And strike it does. For in Harry's second year at Ho,Hardcover,15881,341 pages,Harry Potter and the Chamber of Secrets,1925110
4.14,Signet Classics,English,George Orwell," is still the great modern classic of ""negative utopia"" -a startlingly original and haunting novel that creates an imaginary world that is completely convincing, from the first sentence to the last four words. No one can deny t",Mass Market Paperback,5470,328 pages,Nineteen Eighty-Four,2078869
3.86,Pocket Books Premium Edition,English,Dan Brown,A devastating new weapon of destruction.,Mass Market Paperback,960,713 pages,Angels & Demons ,2094460
4.26,Riverhead trade paperback edition,English,Khaled Hosseini,"Amir is the son of a wealthy Kabul merchant, a member of the ruling caste of Pashtuns. Hassan, his servant and constant companion, is a Hazara, a despised and impoverished caste. Their uncommon bond is torn by Amir's choice to abandon his friend amidst the increasing ethnic, religious, and political tensions of the dying years of the Afghan monarchy, wrenching them far apart. But so strong is the bond between the two boys that Amir journeys back to a distant world, to try to right past wrongs against the only true friend he ever had.",Paperback,77203,391 pages,The Kite Runner ,1892163
4.24,Modern Library Classics,English,Jane Austen,"“It is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife.” So begins Pride and Prejudice, Jane Austen’s witty comedy of manners—one of the most popular novels of all time—that features splendidly civilized sparring between the proud Mr. Darcy and the prejudiced Elizabeth Bennet as they play out their spirited courtship in a series of eighteenth-century drawing-room intrigues. Renowned literary critic and historian George Saintsbury in 1894 declared it the “most perfect, the most characteristic, the most eminently quintessential of its author’s works,” and Eudora Welty in the twentieth century described it as “irresistible and as nearly flawless as any fiction could be.”",Paperback,1885,279 pages,Pride and Prejudice,2212893
4.05,Reprint Edition,English,Caleb Carr," was first published in 1994, it was a major phenomenon, spending six months on the ",Paperback,40024,498 pages,The Alienist,101598
3.68,1st Edition,English,Melissa de la Cruz,"When the Mayflower set sail in 1620, it carried on board the men and women who would shape America: Miles Standish; John Alden; Constance Hopkins. But some among the Pilgrims were not pure of heart; they were not escaping religious persecution. Indeed, they were not even human. They were vampires.The vampires assimilated quickly into the New World. Rising to levels of enormous power, wealth, and influence, they were the celebrated blue bloods of American society. ",Hardcover,872333,302 pages,Blue Bloods,121386
4.59,Hobbit Movie Tie-in Boxed set,English,J.R.R. Tolkien, and the three volumes of ,Mass Market Paperback,30,1728 pages,The Hobbit and The Lord of the Rings,94859
4.3,1st Edition,                                  ,Colleen Hoover,"Layken and Will have proved their love can get them through anything; until someone from Will’s past re-emerges, leaving Layken questioning the very foundation on which their relationship was built. Will is forced to face the ultimate challenge…how to prove his love for a girl who refuses to stop ‘carving pumpkins.’",ebook,13496084,215 pages,Point of Retreat,124770
4.43,Boxed Set,English,L.M. Montgomery,"Includes Anne of Green Gables, Anne of Avonlea, Anne of the Island, Anne of Windy Poplars, Anne's House of Dreams, Anne of Ingleside, Rainbow Valley and Rilla of Ingleside - the whole co",Paperback,3579,2088 pages,The Complete Anne of Green Gables Boxed Set,93186
4.35,First,English,Robert Jordan,"Robert Jordan was the pen name of James Oliver Rigney, Jr., under which he was best known as the author of the bestselling The Wheel of Time fantasy series. He also wrote under the names ",Hardcover,1166599,783 pages,The Gathering Storm,101100
3.89,1st Edition,English,Lauren Kate,"Luce would die for Daniel. And she has. Over and over again. Throughout time, Luce and Daniel have found each other, only to be painfully torn apart: Luce dead, Daniel left broken and alone. But perhaps it doesn’t need to be that way . . . Luce is certain that something – or someone – in a past l",Hardcover,9369720,420 pages,Passion,126024
4.1,Original Edition,English,Alice Clayton,"The first night after Caroline moves into her fantastic new San Francisco apartment, she realizes she's gaining an intimate knowledge of her new neighbor's nocturnal adventures. Thanks to paper-thin walls and the guy's athletic prowess, she can hear not just his bed banging against the wall but the ecstatic response of what seems (as loud night after loud night goes by) like an endless parade of women. And since Caroline is currently on a self-imposed dating hiatus, and her neighbor is clearly lethally attractive to women, she finds her fantasies keep her awake even longer than the noise. So when the wallbanging threatens to literally bounce her out of bed, Caroline, clad in sexual frustration and a pink baby-doll nightie, confronts Simon Parker, her heard-but-never-seen neighbor. The tension between them is as thick as the walls are thin, and the results just as mixed. Suddenly, Caroline is finding she may have discovered a whole new definition of neighborly...",Paperback,15858248,384 pages,Wallbanger,146326
3.8,First Signet Edition,English,Stephen King,It's not a very nice place to live. It's an even worse place to die.,Mass Market Paperback,10584,547 pages,Desperation,100606
4.26,1st edition,English,J.A. Redmerski,"Determined not to dwell on the negative and push forward, Camryn is",Paperback,16081272,426 pages,The Edge of Never,128368
4.17,Pocket Books Premium Edition,English,Stephen King," are bearing southeast through the forests of Mid-World on their quest for the Dark Tower. Their path takes them to the outskirts of Calla Bryn Sturgis. But beyond the tranquil farm town, the ground rises to the hulking darkness of Thunderclap, the source of a terrible affliction that is stealing the town's soul. The wolves of Thunderclap and",Mass Market Paperback,4978,931 pages,Wolves of the Calla,111541
4.12,1st US Edition,English,Kristin Cashore,"This is where Fire lives. With a wild, irresistible appearance and hair the color of flame, Fire is the last remaining human monster. Equally hated a",Hardcover,6137154,480 pages,Fire,134406
3.99,Collection ,English,Richard Matheson,Buried talents --,Paperback,547094,317 pages,I Am Legend and Other Stories,103281
3.42,First Edition,English,Jeffrey Eugenides,"It's the early 1980s - the country is in a deep recession, and life after college is harder than ever. In the cafés on",Hardcover,10964693,406 pages,The Marriage Plot,99713
3.78,First American Edition,English,Marie Kondō,"Despite constant efforts to declutter your home, do papers still accumulate like snowdrifts and clothes pile up like a tangled mess of noodles?",Hardcover,22318578,224 pages,人生がときめく片づけの魔法,132755
4.11,30th Anniversary Edition,English,Richard Dawkins,"Inheriting the mantle of revolutionary biologist from Darwin, Watson, and Crick, Richard Dawkins forced an enormous change in the way we see ourselves and the world with the publication of The Selfish Gene. Suppose, instead of thinking about organisms using genes to reproduce themselves, as we had since Mendel's work was rediscovered, we turn it around and imagine that ""our"" genes build and maintain us in order to make more genes. That simple reversal seems to answer many puzzlers which had stumped scientists for years, and we haven't thought of evolution in the same way since.",Paperback,61535,360 pages,The Selfish Gene,101675
3.86,Vintage International (US / Canada),English,Joan Didion,At first they thought,Paperback,7815,227 pages,The Year of Magical Thinking,100166
3.72,Book Club Edition,English,William Faulkner,"William Cuthbert Faulkner was a Nobel Prize-winning American novelist and short story writer. One of the most influential writers of the twentieth century, his reputation is based mostly on his novels, novellas, and short stories. He was also a published poet and an occasional screenwriter.",Paperback,77013,267 pages,As I Lay Dying,111390
4.03,First Edition,English,Kelley Armstrong,"All I wanted was to make friends, meet boys, and keep on being ordinary. I don't even know what that means anymore. It all started on the day that I saw my first ghost - and the ghost saw me.",Hardcover,2800905,390 pages,The Summoning,137480
3.72,The Uncensored Original Edition,English,Upton Sinclair,"Upton Sinclair's dramatic and deeply moving story exposed the brutal conditions in the Chicago stockyards at the turn of the nineteenth century and brought into sharp moral focus the appalling odds against which immigrants and other working people struggled for their share of the American dream. Denounced by the conservative press as an un-American libel on the meatpacking industry, this book was championed by more progressive thinkers, including then president Theodore Roosevelt, and was a major catalyst to the passing of the Pure Food and Meat Inspection act, which has tremendous impact to this day.",Paperback,41681,335 pages,The Jungle,110068
4.04,First Touchstone Edition,English,Oliver Sacks,") recounts the case histories of patients lost in the bizarre, apparently inescapable world of neurological disorders. Oliver Sacks's ",Paperback,63697,243 pages,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,112586
3.69,1st Edition,English,Melissa Marr,"Aislinn has always seen faeries. Powerful and dangerous, they walk hidden in the mortal world. Aislinn fears their cruelty - especially if they learn of her Sight - and wishes she were as blind to their presence as other teens.",Hardcover,305234,328 pages,Wicked Lovely ,136716
4.11,"Puffin Modern Classics, US / CAN",English,Astrid Lindgren,"Tommy and his sister Annika have a new neighbor, and her name is Pippi Longstocking. She has crazy red pigtails, no parents to tell her what to do, a horse that lives on her porch, and a flair for the outrageous that seems to lead to one adventure after another!",Mass Market Paperback,19302,160 pages,Pippi Långstrump,131278
3.97,First Vintage International Edition,English,Albert Camus," is at once a masterfully crafted novel, eloquently understated and epic in scope, and a parable of ageless moral resonance, profoundly relevant to our times. In Oran, a coastal town in North Africa, the plague begins as a series of portents",Paperback,11989,308 pages,La peste,112798
3.74,First English Edition,English,Muriel Barbery,"We are in the center of Paris, in an elegant apartment building inhabited by bourgeois families. Renée, the concierge, is witness to the lavish but vacuous lives of her numerous employers. Outwardly she conforms to every stereotype of the concierge: fat, cantankerous, addicted t",Paperback,2967752,325 pages,L'élégance du hérisson,119462
3.88,1st Edition,English,Charlaine Harris,"Sookie Stackhouse is dealing with a whole host of family problems, ranging from her own kin (a non-human fairy and a telepathic second cousin) demanding a place in her life, to her lover Eric's vampire sire, an ancient being who arrives with Eric's 'brother' in tow at a most inopportune moment. And Sookie's tracking down a distant relation of her a",Hardcover,7091488,311 pages,Dead in the Family,138449
4.23,Original Edition,English,Jamie McGuire,In ,Paperback,15745950,448 pages,Walking Disaster,145779
4.03,Penguin,English,Ellen Raskin,"Ellen Raskin was a writer, illustrator, and designer. She was born in Milwaukee, Wisconsin, and grew up during the Great Depression. She primarily wrote for children. She received the 1979 Newbery Medal for her 1978 book, The Westing Game.",Paperback,902,182 pages,The Westing Game,125597
3.8,Reader's Circle,English,Lois Lowry,"In her strongest work to date, Lois Lowry once again creates a mysterious but plausible future world. It is a society ruled by savagery and deceit that shuns and discards the weak. Left orphaned and physically flawed, young Kira faces a frightening, uncertain future. Blessed with an almost magical talent that keeps her alive, she struggles with ever broadening responsibilities in her quest for truth, discovering things that will change her life forever.",Paperback,12936,240 pages,Gathering Blue,128753
4.28,1st Edition,English,Sarah J. Maas,Dragged to a magical kingdom for th,Hardcover,16096824,421 pages,A Court of Thorns and Roses,194924
3.79,Folger Shakespeare Library,English,William Shakespeare,"The Merchant of Venice is one of Shakespeare’s most popular comedies, but it remains deeply controversial. The text may seem anti-Semitic; yet repeatedly, in performance, it has revealed a contrasting nature. Shylock, though vanquished in the law-court, often triumphs in the theatre. In his intensity he can dominate the play, challenging abrasively its romantic and lyrical affirmations. What results is a bitter-sweet drama.",Paperback,24128,237 pages,The Merchant of Venice,129223
3.98,Penguin Classics,English,Kenneth Grahame,"Meet little Mole, willful Ratty, Badger the perennial bachelor, and petulant Toad. Over one hundred years since their first appearance in 1908, they've become emblematic archetypes of eccentricity, folly, and friendship. And their misadventures-in gypsy caravans, stolen sports cars, and their Wild Wood-continue to capture readers' imaginations and warm their hearts long after they grow up. Begun as a series of letters from Kenneth Grahame to his son, ",Paperback,5659,256 pages,The Wind in the Willows,141101
