author,Language,id,numberofpages,description,title,bookEdition,GoodReadAverageRating,NumberofRatings,bookformat
Chris Kyle,English,11887020,528 pages,"From 1999 to 2009, U.S. Navy SEAL Chris Kyle recorded the most career sniper kills in United States military history. The Pentagon has officially confirmed more than 150 of Kyle's kills (the previous American record was 109), but it has declined to verify the astonishing total number for this book. Iraqi insurgents feared Kyle so much they named him al-Shaitan (“the devil”) and placed a bounty on his head. Kyle earned legendary status among his fellow SEALs, Marines, and U.S. Army soldiers, whom he protected with deadly accuracy from rooftops and stealth positions. Gripping and unforgettable, Kyle’s masterful account of his extraordinary battlefield experiences ranks as one of the great war memoirs of all time.",American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Large Print,3.97,82929,Paperback
Meg Wolitzer,English,15815333,468 pages,"The summer that Nixon resigns, six teenagers at a summer camp for the arts become inseparable. Decades later the bond remains powerful, but so much else has changed. In",The Interestings,USA / Canada,3.54,85494,Hardcover
Abbi Glines,"
                  ",17337562,292 pages,"Torn between his love for his family and his love for Blaire, Rush has to find a way to save one without losing the other. In the end one has to be more important. Letting go isn’t easy.","Forever Too Far (Too Far, #3)",US,4.24,73204,Kindle Edition
Mary Karr,English,14241,320 pages," took the world by storm and raised the art of the memoir to an entirely new level, as well as bringing about a dramatic revival of the form. Karr's comic childhood in an east Texas oil town brings us characters as darkly hilarious as any of J. D. Salinger's—a hard-drinking daddy, a sister who can talk down the sheri",The Liars' Club: A Memoir,10th anniversary ed.,3.92,47922,Paperback
Charlaine Harris,English,15985348,338 pages,"Sookie Stackhouse finds it easy to turn down the request of former barmaid Arlene when she wants her job back at Merlotte’s. After all, Arlene tried to have Sookie killed. But her relationship with Eric Northman is not so clearcut. He and his vampires are keeping their distance…and a cold silence. And when Sookie learns the reason why, she is devastated.",Dead Ever After,1st edition,3.39,67321,Hardcover
Ray Bradbury,English,24830,186 pages, has remained in print since being published in 1951 is fair testimony to the universal appeal of Ray Bradbury's work. Only his second collection (the first was ,The Illustrated Man,Voyager Classics #33,4.13,58550,Paperback
Marcus Aurelius,English,30659,304 pages, of Marcus Aurelius (AD 121-180) offer a remarkable series of challenging spiritual reflections and exercises developed as the emperor struggled to understand himself and make sense of the universe. ,Τὰ εἰς ἑαυτόν ,Penguin Classics,4.2,56572,Paperback
Melissa de la Cruz,English,2753843,264 pages,When an ancient place of p,Revelations,1st Edition,3.9,68843,Hardcover
Patricia Briggs,English,6587387,342 pages,). But she is about to learn that while some secrets are dangerous whose who seek them are just plain deadly...,Silver Borne,First Edition,4.38,78398,Hardcover
P.C. Cast,English,7933617,325 pages,"In Destined, the forces of Light and Dark collide as their epic struggle focuses on Tulsa’s House of Night. Zoey is home where she belongs, safe with her Guardian Warrior, Stark, by her side – and preparing to face off against Neferet. Kalona has released his hold on Rephaim, and, through Nyx’s gift of a human form, he and Stevie Rae are finally able to be together – if Rephaim can truly walk the path of the Goddess and stay free of his father’s shadow.",Destined,UK Edition,4.04,64327,Hardcover
