author,id,Language,description,title,NumberofRatings,GoodReadAverageRating,bookEdition,bookformat,numberofpages
Scott Lynch,2890090,English,"With what should have been the greatest heist of their career gone spectacularly sour, Locke and his trusted partner, Jean, have barely escaped with their lives. Or at least Jean has. But Locke is slowly succumbing to a deadly poison that no alchemist or physiker can cure. Yet just as the end is near, a mysterious Bondsmage offers Locke an opportunity that will either save him or finish him off once and for all.",The Republic of Thieves,54505,4.23,First Edition,Hardcover,650 pages
Michael Scott,4588949,English,"Nicholas Flamel's heart almost broke as he watched his beloved Paris crumble before him. The city was destroyed by Dee and Machiavelli, but Flamel played his own role in the destruction. Sophie and Josh Newman show every sign of being the twins of prophecy, and Flamel had to protect them and the pages from the Dark Elders",The Sorceress,62458,4.11,First Edition,Hardcover,502 pages
Kelley Armstrong,7896345,English,"Sixteen-year-old Maya is just an ordinary teen in an ordinary town. Sure, she doesn't know much about her background - the only thing she really has to cling to is an odd paw-print birthmark on her hip - but she never really put much thought into who her parents were or how she ended up with her adopted parents in this tiny medical-research community on Vancouver Island.",The Gathering,51186,4.03,First Edition,Hardcover,359 pages
P.C. Cast,7933615,English,With the seeds of distrust sown and Darkness breeding chaos at the Hous,Hidden,42518,3.98,First Edition,Hardcover,302 pages
Alexander Pushkin,27822,English,"Eugene Onegin is the master work of the poet whom Russians regard as the fountainhead of their literature. Set in imperial Russia during the 1820s, Pushkin's novel in verse follows the emotions and destiny of three men - Onegin the bored fop, Lensky the minor elegiast, and a stylized Pushkin himself - and the fates and affections of three women - Tatyana the provincial beauty, her sister Olga, and Pushkin's mercurial Muse. Engaging, full of suspense, and varied in tone, it also portrays a large cast of other characters and offers the reader many literary, philosophical, and autobiographical digressions, often in a highly satirical vein. Eugene Onegin was Pushkin's own favourite work, and it shows him attempting to transform himself from romantic poet into realistic novelist. This new translation seeks to retain both the literal sense and the poetic music of the original, and capture the poem's spontaneity and wit. The introduction examines several ways of reading the novel, and the text is richly annotated.",Евгений Онегин: Роман в стихах ,38364,4.08,Oxford World's Classics,Paperback,240 pages
James Patterson,552887,English,"Just when Alex thought his life was calming down into a routine of patients and therapy sessions, he finds himself back in the game--this time to catch a criminal mastermind like no other. A spate of elaborate murders in Washington D.C. have the whole East Coast on edge. They are like nothing Alex Cross and his new girlfriend, Detective Brianna Stone, have ever seen. With each murder, the case becomes increasingly complex. There's only one thing Alex knows: the killer adores an audience. As victims are made into gruesome spectacles citywide, inducing a media hysteria, it becomes clear to Alex that the man he's after is a genius of terror--and he's after fame. The killer has the whole city by its strings--and he'll stop at nothing to become the most terrifying star that Washington D.C. has ever seen",Double Cross,37006,3.99,First Edition,Hardcover,389 pages
Chuck Palahniuk,1840511,English," unfolds from the perspectives of Mr. 72, Mr. 137, and Mr. 600, who await th",Snuff,47252,3.18,First Edition,Hardcover,208 pages
Douglas R. Hofstadter,24113,English,"Douglas Hofstadter's book is concerned directly with the nature of “maps” or links between formal systems. However, according to Hofstadter, the formal system that underlies all mental activity transcends the system that supports it. If life can grow out of the formal chemical substrate of the cell, if consciousness can emerge out of a formal system of firing neurons, then so too will computers attain human intelligence. Gödel, Escher, Bach is a wonderful exploration of fascinating ideas at the heart of cognitive science: meaning, reduction, recursion, and much more.","Gödel, Escher, Bach: An Eternal Golden Braid",33831,4.3,20th Anniversary Edition,Paperback,822 pages
Tamora Pierce,153780,English," beautiful, dramatic, and rash - will she fulfill the role chosen for her by destiny?",Trickster's Queen,47705,4.28,First Trade Paperback Edition,Paperback,469 pages
J.R. Ward,13570854,English,"Qhuinn, son of no one, is used to being on his own. Disavowed from his bloodline, shunned by the aristocracy, he has finally found an identity as one of the most brutal fighters in the war against the Lessening Society. But his life is not complete. Even as the prospect of having a family of his own seems to be within reach, he is empty on the inside, his heart given to another....",Lover at Last,52293,4.3,First Edition,Hardcover,608 pages
James Clavell,42933,English,.,Tai-Pan,36495,4.25,Reprint,Mass Market Paperback,734 pages
Edwin A. Abbott,433567,English,"Edwin Abbott Abbott (December 20, 1838 - 1926), English schoolmaster and theologian, is best known as the author of the mathematical satire Flatland (1884).",Flatland: A Romance of Many Dimensions,39661,3.81,Dover Thrift Edition,Paperback,96 pages
Kim Harrison,1225621,English,"As Rachel searches for the truth behind a terrifying murder, an even greater menace threatens, for the demon Algaliarept will stop at nothing to claim her, and the discovery of a shocking family secret throws Rachel'",The Outlaw Demon Wails ,47754,4.38,1st Edition,Hardcover,455 pages
Dan Wells,12476820,English,"Humanity is all but extinguished after a war with Partials—engineered organic beings identical to humans—has decimated the population. Reduced to only tens of thousands by a weaponized virus to which only a fraction of humanity is immune, the survivors in North America have huddled together on Long Island. But sixteen-year-old Kira is determined to find a solution. As she tries desperately to save what is left of her race, she discovers that that the survival of both humans and Partials rests in her attempts to answer questions about the war's origin that she never knew to ask.",Partials,45222,3.94,1st Edition,Hardcover,468 pages
Margret Rey,808853,English,"“This is George. He lived in Africa. He was a good little monkey, and always very curious.” With these words, H. A. and Margret Rey introduced the world to Curious George in 1941, and the world has loved him ever since. The tales of this cheerful and resilient little hero have kept generations of readers enthralled and entertained. Now, in recognition of the sixtieth anniversary of his debut, Houghton Mifflin proudly presents a special edition of George’s best-loved adventures.",The Complete Adventures of Curious George,40004,4.23,70th Anniversary Edition,Hardcover,432 pages
Kim Harrison,30259,English,"Despite dating one vampire and living with another, Rachel Morgan has stayed ahead of trouble until now. A serial killer stalks the Hollows, claims victims across society, and ignites a vicious Inderland gang war. Rachel hides an ancient artifact that could stop the killer or start a battle to the death among supernatural races of Cincinnati. Every action has its price. When the vampire master Piscary is set free and the demonic Algaliarept dares to walk openly under the sun, even Rachel Morgan can't hide forever.",For a Few Demons More ,48631,4.33,1st Edition,Hardcover,456 pages
Larry Niven,218467,English,"The gigantic comet had slammed into Earth, forging earthquakes a thousand times too powerful to measure on the Richter scale, tidal waves thousands of feet high. Cities were turned into oceans; oceans turned into steam. It was the beginning of a new Ice Age and the end of civilization. But for the terrified men and women chance had saved, it was also the dawn of a new struggle for survival--a struggle more dangerous and challenging than any they had ever known.",Lucifer's Hammer,35163,3.98,#20813-3,Mass Market Paperback,640 pages
Isabel Wilkerson,8171378,English,"From 1915 to 1970, this exodus of almost six million people changed the face of America. Wilk",The Warmth of Other Suns: The Epic Story of America's Great Migration ,35065,4.32,1st,Hardcover,622 pages
L.M. Montgomery,77394,English,"A new life means fresh problems to solve, fresh surprises. Anne and Gilbert",Rainbow Valley,62035,4.12,Special Collector's Edition,Mass Market Paperback,243 pages
Kim Harrison,30262,English,"Kim Harrison, author of the New York Times #1 best selling Hollows series, was born in Detroit and lived most her her life within an easy drive. She's currently working on a variety of projects to see what finds a home first, and when not at her desk, is most likely to be found landscaping her new/old Victorian home, or in the garden.","The Good, the Bad, and the Undead",53268,4.26,1st Edition,Mass Market Paperback,453 pages
