id,bookEdition,GoodReadAverageRating,numberofpages,bookformat,NumberofRatings,description,Language,author,title
59978,Second Edition,4.22,240 pages,Paperback,23591,", the fourth Sin City graphic novel, Miller's experiment with yellow ink is also a tremendous success. The setup is simple. On",                                  ,Frank Miller,Sin City: That Yellow Bastard
30225,First Edition,3.91,422 pages,Hardcover,37934,Long-time rivals for An,English,Laurell K. Hamilton,"The Harlequin (Anita Blake, Vampire Hunter, #15)"
9307674,First American Edition,4.15,328 pages,Hardcover,37821,"Opal Koboi, power-crazed pixie, is plotting to exterminate mankind and become fairy queen.",English,Eoin Colfer,The Last Guardian
19083,thrift,3.92,368 pages,Paperback,24244,Both heavily influenced by an,English,Aristotle,Politics
59969,Third Edition,4.16,208 pages,Paperback,24076,"The second volume of Frank Miller's signature series is now planned as the lead story in the upcoming Sin City 2! This newly redesigned edition sports a new cover by Miller - some of his first comics art in years! Stuck with nothing but a seedy gumshoe job and some demons, Dwight's thinking of all the ways he's screwed up and what he'd give for one clear chance to wipe the slate clean, to dig his way out of the numb gray hell that is his life. And he'd give anything. Just to feel the fire. One more time. But he can't let himself lose control again, can't ever let the monster out. And then Ava calls. With a new look generating more excitement than ever before, this third edition is the perfect way to attract a whole new generation of readers to Frank Miller's masterpiece!",English,Frank Miller,Sin City: A Dame to Kill For
349473,First Edition,3.66,285 pages,Hardcover,30450," on an Olivetti typewriter, then turned the machine over to Stephen King, who used it to write ",English,Richard Bachman,Blaze
21337,Unabridged,4.01,469 pages,Audio Cassette,29242,"Every city has secrets. But none as terrible as this. His name is Deucalion, a tattooed man of mysterious origin, a sleight-of-reality artist who’s traveled the centuries with a secret worse than death. He arrives as a serial killer stalks the streets, a killer who carefully selects his victims for the humanity that is missing in himself. Detective Carson O’Connor is cool, cynical, and every bit as tough as she looks. Her partner Michael Maddison would back her up all the way to Hell itself–and that just may be where this case ends up. For the no-nonsense O’Connor is suddenly talking about an ages-old conspiracy, a near immortal race of beings, and killers that are more—and less—than human. Soon it will be clear that as crazy as she sounds, the truth is even more ominous. For their quarry isn’t merely a homicidal maniac—but his deranged maker.",English,Dean Koontz,Dean Koontz's Frankenstein: Prodigal Son
9531,First Edition,4.15,557 pages,Hardcover,30989, bestseller ,English,Dave Barry,Peter and the Shadow Thieves
34080,Norton Critical Edition,4.11,320 pages,Paperback,31926,"For ease of reading, this Norton Critical Edition presents The Waste Land as it first appeared in the American edition (Boni & Liveright), with Eliot's notes at the end. ""Contexts"" provides readers w",English,T.S. Eliot,The Waste Land
77391,Special Collector's Edition,4.05,274 pages,Mass Market Paperback,38859,"Still, Mrs Doctor can't think of any place she'd rather be than her own beloved Ingleside. Until the day she begins to worry that her adored Gilbert doesn't love her a",English,L.M. Montgomery,Anne of Ingleside
38787,Reprint Edition,4.04,124 pages,Paperback,26738,"Pedro Páramo is a short novel written by Juan Rulfo, originally published in 1955. In just the 23 FCE editions and reprintings, it had sold 1,143,000 copies by November 1997. Other editions in Mexico, Spain, and other nations have sold countless more copies. It is Rulfo's second book, after the short story collection El Llano en llamas, translated into English as The Burning Plain and other Stories. It has had a major influence in the development of magical realism and it is told in a mixture of first and third person narration. Gabriel García Márquez said that he had not felt like that since reading ",English,Juan Rulfo,Pedro Páramo
135611,Eminent Lives,3.79,199 pages,Paperback,29452,"The author of 'The Life and Times of the Thunderbolt Kid' isn't, after all, a Shakespeare scholar, a playwright, or even a biographer. ",English,Bill Bryson,Shakespeare: The World as Stage 
92780,Deluxe edition,3.92,233 pages,Paperback,33524,"Stella Dorothea Gibbons was an English novelist, journalist, poet and short-story writer.",English,Stella Gibbons,Cold Comfort Farm
81779,Penguin Classics,4.01,131 pages,Paperback,28369,"In the course of a lively drinking party, a group of Athenian intellectuals exchange views on eros, or desire. From their conversation emerges a series of subtle reflections on gender roles, sex in society, and the sublimation of basic human instincts. The discussion culminates in a radical challenge to conventional views by Plato's mentor, Socrates, who advocates transcendence through spiritual love. ",English,Plato,Συμπόσιον
12099007,Unabridged,4.06,11 pages,Audio CD,34516,Avery's popular pizza place is right across,English,Nora Roberts,The Last Boyfriend
