author,bookformat,Language,bookEdition,NumberofRatings,numberofpages,GoodReadAverageRating,id,description,title
Pam Adams,Hardcover,English,Board Book,26783,14 pages,4.2,949709,"Forty years after its first publication this much-loved Child's Play classic is as popular as ever. Ingenious die-cut holes bring this iconic nursery rhyme to life, and Pam Adams' fabulous illustrations lend humour and vibrancy to the proceedings. Bouncy images, innovative die cutting and favourite rhymes make Books with Holes a must for every child. Available in three formats, suitable for babies, toddlers, pre-schoolers and the nursery or classroom.",There Was an Old Lady Who Swallowed a Fly (Classic Board Books with Holes)
Joe Hill,Hardcover,English,First Edition,28912,752 pages,3.92,25816688, bestselling author of ,The Fireman
Melissa de la Cruz,Hardcover,English,1st Edition,35104,265 pages,3.93,7747263,"Back in New York, Mimi has been elected Regent of a crumbling coven. Struggling with he",Misguided Angel
Molière,Paperback,English,Drama Classics,24918,180 pages,3.66,52823,"Jean-Baptiste Poquelin, also known by his stage name, Molière, was a French playwright and actor who is considered one of the greatest masters of comedy in Western literature. Among Molière's best-known dramas are ","Le Tartuffe, ou L’Imposteur"
Patricia Briggs,Paperback,"
                  ",Uk Edition,35314,308 pages,4.34,7942786,They,"
                  1841497967
                      "
Willa Cather,Paperback,English,Vintage Classics,23203,297 pages,3.88,545951,"There is something epic—and almost mythic—about this sparsely beautiful novel by Willa Cather, although the story it tells is that of a single human life, lived simply in the silence of the desert. In 1851 Father Jean Marie Latour comes as the Apostolic Vicar to New Mexico. What he finds is a vast territory of red hills and tortuous arroyos, American by law but Mexican and Indian in custom and belief. In the almost forty years that follow, Latour spreads his faith in the only way he knows—gently, although he must contend with an unforgiving landscape, derelict and sometimes openly rebellious priests, and his own loneliness. One of these events Cather gives us an indelible vision of life unfolding in a place where time itself seems suspended.",Death Comes for the Archbishop
أحلام مستغانمي,Paperback,"
                  ",الطبعة التاسعة عشرة,16908,375 pages,3.83,2501455,See also ,فوضى الحواس
Charles Bukowski,Paperback,English,First Ecco edition,20889,312 pages,4.16,23534, (born as ,"Love Is a Dog from Hell: Poems, 1974-1977"
Franz Kafka,Paperback,English,The Schocken Kafka Library,20621,486 pages,4.34,22904,--penguin,Sämtliche Erzählungen
Terry Brooks,Hardcover,English,First Edition,22985,420 pages,3.95,187124,"Twenty years ago, Terry Brooks turned fantasy fiction on its head with The Sword of Shannara, the first fantasy novel to make the mainstream bestseller lists, and the first in an unbroken string of thirteen bestselling books. Now, in Running with the Demon, Brooks does nothing less than revitalize fantasy fiction again, inventing the complex and powerful new mythos of the Word and the Void, good versus evil still, but played out in the theater-in-the-round of the ""real world"" of our present. ",Running with the Demon
Julia Quinn,Paperback,English,UK Edition,27674,374 pages,3.93,8476248,"#1 New York Times bestselling author Julia Quinn loves to dispel the myth that smart women don't read (or write) romance, and in 2001 she did so in grand style, competing on the the game show The Weakest Link and walking away with the $79,000 jackpot. She displayed a decided lack of knowledge about baseball, country music, and plush toys, but she is proud to say that she aced all things British an",Just Like Heaven
Anya Seton,Paperback,English,Rediscovered Classics,24344,500 pages,4.18,33609,"This classic romance novel tells the true story of the love affair that changed history—that of Katherine Swynford and John of Gaunt, Duke of Lancaster, the ancestors of most of the British royal family. Set in the vibrant 14th century of Chaucer and the Black Death, the story features knights fighting in battle, serfs struggling in poverty, and the magnificent Plantagenets—Edward III, the Black Prince, and Richard II—who ruled despotically over a court rotten with intrigue. Within this era of danger and romance, John of Gaunt, the king’s son, falls passionately in love with the already married Katherine. Their well-documented affair and love persist through decades of war, adultery, murder, loneliness, and redemption. This epic novel of conflict, cruelty, and untamable love has become a classic since its first publication in 1954.",Katherine
Kim Harrison,Hardcover,English,1st Edition,30283,438 pages,4.38,10599805,!,A Perfect Blood
Bill Willingham,Paperback,English,Trade,24091,232 pages,4.29,21325,"When Little Red Riding Hood suddenly walks through the gate between this world and the lost Fable Homelands, she's welcomed as a miraculous survivor by nearly everyone - everyone except her old nemesis, Bigby Wolf, who smells spying and","Fables, Volume 4: March of the Wooden Soldiers"
Lee Child,Audio CD,English,Unabridged,29205,14 pages,3.96,28077464,"Two other men are in the classroom—an FBI agent and a CIA analyst. Each is a first-rate operator, each is fresh off a big win, and each is wondering what the hell they are doing there.",Night School
Lisa Lutz,Audio CD,English,Abridged,27955,6 pages,3.88,129117,"Meet Isabel ""Izzy"" Spellman, private investigator. This twenty-eight-year-old may have a checkered past littered with romantic mistakes, excessive drinking, and creative vandalism; she may be addicted to Get Smart reruns and prefer entering homes through windows rather than doors -- but the upshot is she's good at her job as a licensed private investigator with her family's firm, Spellman Investigations. Invading people's privacy comes naturally to Izzy. In fact, it comes naturally to all the Spellmans. If only they could leave their work at the office. To be a Spellman is to snoop on a Spellman; tail a Spellman; dig up dirt on, blackmail, and wiretap a Spellman. ",The Spellman Files
Olivia Cunning,ebook,English,Nook,37336,448 pages,4.11,9442157,"It shattered her heart, but law student Jessica broke off her engagement to Sed, determined to be successful on",Rock Hard
Joe Hill,Hardcover,English,First American Edition,25037,316 pages,3.95,373915,Imogene is young and beautiful. She kisses like a movie star and knows everything about every film ever made. She's also dead and waiting in the Rosebud Theater for Alec Sheldon one afternoon in 1945.... ,20th Century Ghosts
Norman Mailer,Paperback,English,50th Anniversary Edition,20028,721 pages,3.94,12467,"Norman Kingsley Mailer was an American novelist, journalist, essayist, poet, playwright, screenwriter, and film director.",The Naked and the Dead
Ram Dass,Paperback,English,1st,18801,416 pages,4.27,29254,The book is divided into four sections:,Be Here Now
Robert Henri,Paperback,English,Icon Editions,16777,284 pages,3.87,207781,"In this book are the essential beliefs and theories of a great teacher and American artist, Robert Henri. While it embodies the entire system of his teaching, with much technical advice and critical comment for the student, it also contains inspiration for those to whom the happiness to be found through all the arts is important.No other American painter attracted such a large, intensely personal group of followers as Henri, whose death in 1929 brought to an end a life that has been completely devoted to art. He was an inspired artist and teacher who believed that everyone is vitally concerned in the happiness and wisdom to be found through the arts. Many of his paintings have been acquired by museums and private collectors. Among them are the Baltimore Museum of Art, the Metropolitan Museum of Art, the National Gallery of Art, the Whitney Museum of American Art, the Wichita Art Museum, and Yale University Art Gallery.","The Art Spirit: Notes, Articles, Fragments of Letters and Talks to Students, Bearing on the Concept and Technique of Picture Making, the Study of Art Generally, and on Appreciation (Icon Editions)"
Sherrilyn Kenyon,Mass Market Paperback,English,1st Edition,35023,378 pages,4.34,84139,"An orphan with no clan that will claim him, Wren Tigarian grew to adulthood under the close scrutiny and mistrust of those around him. A forbidden blend of two animals - snow leopard and white tiger - Wren has never lis",Unleash the Night
