id,title,author,numberofpages,bookformat,NumberofRatings,GoodReadAverageRating,description,bookEdition,Language
21796,Marathon Man,William Goldman,236 pages,Paperback,16523,4.11,"Tom ""Babe"" Levy is a runner in every sense: racing tirelessly toward his goals of athletic and academic excellence--and endlessly away from the specter of his famous father's scandal-driven suicide. But an unexpected visit from his beloved older brother will set in motion a chain of events that plunge Babe into a vortex of terror, treachery, and murder--and force him into a race for his life . . . and for the answer to the fateful question, ""Is it safe?""",U.K. Paperback Edition; Movie tie-in cover,English
16152943,"
                  098870742X
                      ",Kelly Elliott,503 pages,Paperback,26083,3.98,"The last thing Ellie expected was to fall in love with Gunner Mathews, a starting linebacker for the University of Te",2 edition,"
                  "
21329,"Fables, Volume 3: Storybook Love",Bill Willingham,190 pages,Paperback,25744,4.15,"But that doesn't mean they don't have any room for romance—or the pain, betrayal and jealous rage that go along with it. In fact, love may be b",Trade,English
11765920,The Calling,Kelley Armstrong,326 pages,Hardcover,27580,4.1,"Maya Delaney's paw-print birthmark is the mark of what she truly is - a skin-walker. She can run faster, climb higher, and see better than nearly everyone else. Experiencing intense connections with the animals that roam the woods outside her home, Maya knows it's only a matter of time before she's able to Shift and become one of them. And she believes there may be others in her small town with surprising talents.",First Edition,English
10866624,Unspoken,Sarah Rees Brennan,370 pages,Hardcover,24575,3.85,"Kami Glass loves someone she’s never met... a boy she’s talked to in her head ever since she was born. She wasn’t silent about her imaginary friend during her childhood, and is thus a bit of an outsider in her sleepy English town of Sorry-in-the-Vale. Still, Kami hasn’t suffered too much from not fitting in. She has a best friend, runs the school newspaper, and is only occasionally caught talking to herself. Her life is in order, just the way she likes it, despite the voice in her head.",First Edition,English
72657,Pedagogia do Oprimido,Paulo Freire,192 pages,Paperback,17790,4.25,"First published in Portuguese in 1968, Pedagogy of the Oppressed was translated and published in English in 1970. The methodology of the late Paulo Freire has helped to empower countless impoverished and illiterate people throughout the world. Freire's work has taken on especial urgency in the United States and Western Europe, where the creation of a permanent underclass among the underprivileged and minorities in cities and urban centers is increasingly accepted as the norm. With a substantive new introduction on Freire's life and the remarkable impact of this book by writer and Freire confidant and authority Donaldo Macedo, this anniversary edition of Pedagogy of the Oppressed will inspire a new generation of educators, students, and general readers for years to come.",30th Anniversary Edition,English
215540,The Quillan Games,D.J. MacHale,486 pages,Hardcover,18962,4.19,"Quillan is a territory on the verge of destruction. The people have lost control of their own future and must struggle simply to survive. The only chance they have of finding a better life is by playing the Quillan Games. Hosted by a strange pair of game masters, Veego and LaBerge, the games are a mix of sport and combat. They use the people of Quillan as pawns for their amusement as they force them to enter competitions that range from physical battles, to impossible obstacle courses, to computer-driven tests of agility. To triumph in the games is to live the life of a king. To lose is to die.",1st S&S ed.,English
20563,Adam Bede,George Eliot,624 pages,Paperback,19547,3.77," was George Eliot's first full-length novel and a bestseller from the moment of publication. Eliot herself called it ""a country story - full of the breath of cows and scent of hay."" In the early days of the Napoleonic Wars, Adam Bede is hardworking carpenter with enormou",Modern Library Classics Paperback Edition,English
25733990,Sleeping Giants,Sylvain Neuvel,304 pages,Hardcover,25443,3.84,"Seventeen years later, the mystery of the biza",First Edition,English
107774,Honor's Splendour,Julie Garwood,374 pages,Mass Market Paperback,23609,4.22,"bestselling author Julie Garwood is a fan favorite—a beautiful lady needs rescue from a knight in shining armor, and gets an alpha warrior instead.",Reissue editon,English
16043804,The Crown Tower,Michael J. Sullivan,384 pages,Paperback,19682,4.31,"A warrior with nothing to fight for is paired with a thieving assassin with nothing to lose. Together they must steal a treasure that no one can reach. The Crown Tower is the impregnable remains of the grandest fortress ever built and home to the realm’s most valuable possessions. But it isn’t gold or jewels the old wizard is after, and this prize can only be obtained by the combined talents of two remarkable men. Now if Arcadius can just keep Hadrian and Royce from killing each other, they just might succeed.",First Edition,English
6357022,"Club Shadowlands (Masters of the Shadowlands, #1)",Cherise Sinclair,155 pages,Kindle Edition,28108,3.99,Master Z hasn't been so attracted to a woman in ye,1st edition,"
                  "
8437913,Tick Tock,James Patterson,448 pages,Hardcover,20408,4.03,"James Patterson has created more enduring fictional characters than any other novelist writing today with his Alex Cross, Michael Bennett, Women’s Murder Club, Private, NYPD Red, Daniel X, Maximum Ride, and Middle School series. As of January 2016, he has sold over 350 million books worldwide and currently holds the Guinness World Record for the most #1 New York Times bestsellers. In addition to writing the thriller novels for which he is best known, he also writes children’s, middle-grade, and young-adult fiction and is also the first author to have #1 new titles simultaneously on the New York Times adult and children’s bestsellers lists.",Large Print,English
3675828,Long Lost,Harlan Coben,374 pages,Hardcover,20992,3.95, bestselling author Harlan Coben’s blistering new Myron Bolitar thriller takes Myron—and his millions of fans—where they have never gone before,First Edition,English
18295858,Frog Music,Emma Donoghue,416 pages,Hardcover,19139,3.13,"The survivor, her friend Blanche Beunon, is a French burlesque dancer. Over the next three days, she will risk everything to bring Jenny's murderer to justice--if he doesn't track",First ,English
17961,Cuentos completos,Jorge Luis Borges,565 pages,Paperback,16821,4.58,"Jorge Luis Borges has been called the greatest Spanish-language writer of our century. Now for the first time in English, all of Borges' dazzling fictions are gathered into a single volume, brilliantly translated by Andrew Hurley. From his 1935 debut with The Universal History of Iniquity, through his immensely influential collections Ficciones and The Aleph, these enigmatic, elaborate, imaginative inventions display Borges' talent for turning fiction on its head by playing with form and genre and toying with language. Together these incomparable works comprise the perfect one-volume compendium for all those who have long loved Borges, and a superb introduction to the master's work for those who have yet to discover this singular genius.",US / CAN,English
32767,At the Mountains of Madness,H.P. Lovecraft,186 pages,Paperback,20424,3.92,. The deliberately told and increasingly chilling recollection of an Antarctic expedition's uncanny discoveries --and their encounter with an untold,definitive,English
18331807,English,Fisher Amelie,390 pages,Kindle Edition,28494,4.25,Because mine is not the story you read e,3rd edition,"
                  "
400924,Chronicles of The Black Company (The Black Company / Shadows Linger / The White Rose),Glen Cook,704 pages,Paperback,18254,4.2,"Then comes the prophecy: The White Rose has been reborn, somewhere, to embody good once more…",First Edition,English
7640705,The Ring of Solomon,Jonathan Stroud,32 pages,Audio CD,21932,4.19,"It is 950 B.C.E., and King Solomon rules Jerusalem with a steely hand; a hand on which gleams a magic ring of immense and unforgiving power. Solomon has just begun work on his marvelous temple, charging Khaba, a formidable magician in his royal court, to oversee its construction. The workforce is an ill-behaved bunch of demons, a particularly unruly djinni named Bartimaeus among them. True to form, Bartimaeus promptly gets kicked off the temple project and assigned the even more miserable task of hunting bandits in the desert. There he crosses paths with Asmira, a highly skilled and loyal captain of the Queen of Sheba’s guard, on a suicidal mission to save her country from Solomon’s imminent attack. Of course, Bartimaeus has no intention of helping her. That is, until Asmira makes him an offer he cannot refuse. . . .",Unabridged,English
10889279,Batman: The Black Mirror,Scott Snyder,288 pages,Hardcover,16681,4.29,"Then, in a second story called ""Hungry City,""",Deluxe Edition,English
133394,Our Man in Havana,Graham Greene,220 pages,Paperback,18633,3.94,Although Greene objected strongly to being described as a “Catholic novelist” rather than as a “novelist who happened to be Ca,Penguin Twentieth Century Classics,English
3342764,The Magician's Apprentice,Trudi Canavan,593 pages,Hardcover,19205,3.94,When,First Edition,English
13517455,Reboot,Amy Tintera,365 pages,Hardcover,26005,3.92,"Five years ago, Wren Connolly was shot three times in the chest. After 178 minutes she came back as a Reboot: stronger, faster, able to heal, and less emotional. The longer Reboots are dead, the less human they are when they return. Wren 178 is the deadliest Reboot in the Republic of Texas. Now seventeen years old, she serves as a soldier for HARC (Human Advancement and Repopulation Corporation).",1st Edition,English
9918083,Goliath,Scott Westerfeld,543 pages,Hardcover,25543,4.25,"While on their top-secret mission, Alek finally discovers Deryn's deeply kept secret. Two, actually. Not only is Deryn a girl disguised as a guy...she h",Simon Pulse,English
56634,Through Gates of Splendor,Elisabeth Elliot,304 pages,Paperback,17266,4.39,"In 1956, five young men, including Elliot's husband, Jim, traveled into the jungles of Ecuador to establish communication with the fierce Huaorani Tribe, a people whose only previous response to the outside world has been to attack all strangers. The men's mission combined modern technology with innate ingenuity, sparked by a passionate determination to get the gospel to those without Christ. In a nearby village, their wives waited to hear from them. The news they received - all five missionaries had been murdered - changed lives around the world forever. Written while she was still a missionary in South America and at the request of the men's families, Through Gates of Splendor was Elisabeth Elliot's personal account of the final mission of these five courageous men. Filled with quotations from letters, material from personal journals, a wealth of photographs, and an epilogue update, this reprint of the original hardcover edition tells a lasting story of God's grace, unconditional love, and great courage. This story inspired the 2006 box office hit End of the Spear and is sure to inspire the next generation of servant believers.",40th Anniversary Edition,English
5198,"
                  0452280397
                      ",Toni Morrison,318 pages,Paperback,19182,3.77,"""They shoot the white girl first. With the rest they can take their time."" So begins this visionary work from a storyteller. Toni Morrison's first novel since she was awarded the Nobel Prize for Literature, Paradise opens with a horrifying scene of mass violence and chronicles its genesis in an all-black small town in rural Oklahoma. Founded by the descendants of freed slaves and survivors in exodus from a hostile world, the patriarchal community of Ruby is built on righteousness, rigidly enforced moral law, and fear. But seventeen miles away, another group of exiles has gathered in a promised land of their own. And it is upon these women in flight from death and despair that nine male citizens of Ruby will lay their pain, their terror, and their murderous rage.",First Plume Printing (Oprah's Book Club),"
                  "
13331184,"Heads in Beds: A Reckless Memoir of Hotels, Hustles, and So-Called Hospitality",Jacob Tomsky,247 pages,Hardcover,17834,3.54," to go into the hotel business. As a new college graduate, armed only with a philosophy degree and a singular lack of career direction, he became a valet parker for a large luxu",First Edition,English
13521399,Confessions of a murder suspect,James Patterson,372 pages,Paperback,22882,3.89,"On the night Malcolm and Maud Angel are murdered, Tandy Angel knows just three things: She was the last person to see her parents alive. The police have no suspe",Large Print,English
