bookEdition,NumberofRatings,title,author,id,description,numberofpages,GoodReadAverageRating,Language,bookformat
Three volume box set,17455,Skippy Dies,Paul Murray,7146335,"Why does Skippy, a fourteen-year-old boy at Dublin's venerable Seabrook College, end up dead on the floor of the local doughnut shop? ",661 pages,3.72,English,Paperback
Vintage Classics,16486,Brighton Rock,Graham Greene,48862,"Henry Graham Greene, OM, CH was an English novelist, short story writer, playwright, screenplay writer, travel writer and critic whose works explore the ambivalent moral and political issues of the modern world. Greene combined serious literary acclaim with wide popularity.",269 pages,3.72,English,Paperback
LCC 867900,16696,Wielding a Red Sword,Piers Anthony,76667,"Though he spent the first four years of his life in England, Piers never returned to live in his country of birth after moving to Spain and immigrated to America at age six. After graduating with a B.A. from Goddard College, he married one of his fellow students and and spent fifteen years in an assortment of professions before he began writing fiction full-time.",314 pages,3.93,English,Paperback
1st Edition,28469,Touch the Dark,Karen Chance,67513,The undead are another matter.,307 pages,3.7,English,Mass Market Paperback
Fiftieth Anniversary Edition,14035,The Road to Serfdom,Friedrich A. Hayek,299215," has inspired and infuriated politicians, scholars, and general readers for half a century. Originally published in England in the spring of 1944—when Eleanor Roosevelt supported the efforts of Stalin, and Albert Einstein subscribed lock, stock, and barrel to the so",274 pages,4.18,English,Paperback
First Edition,21816,Invincible (Chronicles of Nick #2),Sherrilyn Kenyon,8677937,"His new principal thinks he's even more of a hoodlum than the last one, his coach is trying to recruit him to things he can't even mention and the girl he's not seeing, but is,",420 pages,4.27,English,Hardcover
"Oxford World's Classics, UK / USA",16179,The Forsyte Saga,John Galsworthy,103159,Written with both c,872 pages,4.15,English,Paperback
Second Edition,13716,"Euthyphro, Apology, Crito, Meno, Phaedo",Plato,30292," presents G. M. A. Grube's distinguished translations, as revised by John Cooper for Plato, ",156 pages,4.1,English,Paperback
First English,17427,Дневной дозор,Sergei Lukyanenko,104160,"Set in a modern-day Moscow, the epic saga chronicles the eternal war of the ""Others,"" an ancient race of humans wi",453 pages,4.05,English,Paperback
Everyman Wodehouse,17185,The Code Of The Woosters,P.G. Wodehouse,105986,"Follow the adventures of Bertie Wooster and his gentleman’s gentleman, Jeeves, in this stunning new edition of one of the greatest comic novels in the English language. When Aunt Dahlia demands that Bertie Wooster help her dupe an antique dealer into selling her an 18th-century cow-creamer. Dahlia trumps Bertie's objections by threatening to sever his standing invitation to her house for lunch, an unthinkable prospect given Bertie's devotion to the cooking of her chef, Anatole. A web of complications grows as Bertie's pal Gussie Fink-Nottle asks for counseling in the matter of his impending marriage to Madeline Bassett. It seems Madeline isn't his only interest; Gussie also wants to study the effects of a full moon on the love life of newts. Added to the cast of eccentrics are Roderick Spode, leader of a fascist organization called the Saviors of Britain, who also wants that cow-creamer, and an unusual man of the cloth known as Rev. H. P. ""Stinker"" Pinker. As usual, butler Jeeves becomes a focal point for all the plots and ploys of these characters, and in the end only his cleverness can rescue Bertie from being arrested, lynched, and engaged by mistake!",286 pages,4.36,English,Hardcover
4th edition,16634,The Gun Seller,Hugh Laurie,45234,"Within hours Lang is butting heads with a Buddha statue, matching wits with evil billionaires, and putting his life (among other things) in the hands of a bevy of femmes fatales, wh",340 pages,3.69,English,Paperback
Petite Bibliothèque,17569,Frederick,Leo Lionni,375901,"Leo Lionni wrote and illustrated more than 40 highly acclaimed children's books. He received the 1984 American Institute of Graphic Arts Gold Medal and was a four-time Caldecott Honor Winner--for Inch by Inch, Frederick, Swimmy, and Alexander and the Wind-Up Mouse. Leo Lionni died in October of 1999 at his home in Tuscany, Italy, at the age of 89.",32 pages,4.19,French,Hardcover
First Edition,24768,Dream Chaser,Sherrilyn Kenyon,1746470,Xypher has one month on Earth to redeem himself through one good deed or be condemned to eternal torture in Tartarus. But redemption means little to a demigod who only wants vengeance on the one who caused his downfall.,369 pages,4.2,English,Mass Market Paperback
Second Edition,14514,Hellboy: Wake the Devil,Mike Mignola,102459,"Mike Mignola was born September 16, 1960 in Berkeley, California and grew up in nearby Oakland. His fascination with ghosts and monsters began at an early age (he doesn't remember why) and reading ",144 pages,4.2,English,Paperback
Oxford World's Classics,16743,Vingt ans après,Alexandre Dumas,7184,", is a supreme creation of suspense and heroic adventure.",788 pages,4.01,English,Paperback
First Edition,17414,Moonlight Mile ,Dennis Lehane,7853757,Amanda McCready was four years old when she vanished from a Boston neighborhood twelve years ago. Desperate pleas for help from the child's aunt led investigators Kenzie and Gennaro to take on the case. The pair risked everything to find the young girl—only to orchestrate her return to a neglectful mother and a broken home.,324 pages,3.71,English,Hardcover
Trade,17088,"The Unwritten, Volume 1: Tommy Taylor and the Bogus Identity",Mike Carey,6471550,"Tom Taylor's life was screwed from go. His father created the Tommy Taylor fantasy series, boy-wizard novels with popularity on par with Harry Potter. The problem is Dad modeled the fictional epic so closely to Tom's real life that fans are constantly comparing him to his counterpart, turning him into the lamest variety of Z-level celebrity. In the final novel, it's even implied that the fictional Tommy will crossover into the real world, giving delusional fans more excuses to harass Tom.",144 pages,3.76,English,Paperback
1st Edition,12738,The Krishna Key,Ashwin Sanghi,15733523,"In modern times, a poor little rich boy grows up believing that he is",475 pages,3.48,English,Paperback
First Edition,20385,The Dead in Their Vaulted Arches,Alan Bradley,17834904,"Moments later, he is dead,",315 pages,4.16,English,Hardcover
Slipcase,14195,S.,J.J. Abrams,17860739,"A young woman picks up a book left behind by a stranger. Inside it are his margin notes, which reveal a reader entranced by the story and by its mysterious author. She responds with notes of her own, leaving the book for the stranger, and so begins an unlikely conversation that plunges them both into the unknown.",456 pages,3.84,English,Hardcover
First Edition,18943,Dodger,Terry Pratchett,13516846,"Seventeen-year-old Dodger may be a street urchin, but he gleans a living from London's sewers, and he knows a jewel whe",360 pages,3.9,English,Hardcover
Razorbill,22570,Peeps,Scott Westerfeld,186103,"Last year as college freshman, narrator Cal was infected by exotic goth Morgan with a parasite that caused following girlfriends to become vampire-like ghouls he calls parasite-positives ""Peeps"". A carrier without symptoms, he hunts his progeny for the centuries old bureaucratic Night Watch. But victims are showing more sanity, pretty human Lacey is pushing his buttons, and her apartment building basement houses fierce hordes of ravening rats, red-eyed cats, and monstrous worms that threaten all. Morgan has the secret to a centuries-old conspiracy and upcoming battle to save the human race.",312 pages,3.77,English,Paperback
1st Edition,22136,Envy,Anna Godbersen,3347892, ,405 pages,3.91,English,Hardcover
Omnibus Edition,13950,"The Morganville Vampires, Volume 3",Rachel Caine,8462184,"In Morganville, violent black clouds promise a storm of devastating proportions. As student Claire Danvers and her friends prepare to defend Morganville against the elements - both natural ",446 pages,4.39,English,Paperback
1st edition,26947,"Rush Too Far (Too Far, #4)",Abbi Glines,18211536,Everyone in Rosemary Beach thinks they know how Rush Finlay and Blaire Wynn fell in love. But Rush is back to tell his side of the story...,242 pages,4.24,"
                  ",Kindle Edition
First Edition,15143,Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,Kevin D. Mitnick,10256723,"Kevin Mitnick was the most elusive computer break-in artist in history. He accessed computers and networks at the world's biggest companies, and however fast the authorities were, Mitnick was faster, sprinting through phone switches, computer systems, and cellular networks. He spent years skipping through cyberspace, always three steps ahead and labeled unstoppable. For Mitnick, hacking wasn't just about technological feats; it was an old-fashioned confidence game that required guile and deception to trick the unwitting out of valuable information.",393 pages,3.95,English,Hardcover
Reissue,23946,The Fury,L.J. Smith,1169808,"Damon Mocking Stefan and Elena, he laughs in the face of doom.",285 pages,3.55,English,Mass Market Paperback
Disney,14245,Winnie the Pooh and Tigger Too,Walt Disney Company,2617684,"Walter Elias “Walt” Disney (December 5, 1901 – December 15, 1966) was an American film producer, director, screenwriter, voice actor, animator, entrepreneur,",40 pages,4.39,English,Hardcover
2nd edition,27809,B00DVEUGZ6,Jay McLean,18285151,"Jake, a handsome boy she just met, happens to witness her loss. With no one to turn to, Mikayla is forced",311 pages,4.15,                                  ,Kindle Edition
First US Edition,17379,"Lord of the Shadows (Cirque Du Freak, #11)",Darren Shan,8949,"Plagued by nightmares of what the future seems to hold, Darren feels uneasy revisiting the place where he was re-born as a child of the night, as though the universe (as though destiny) is plotting t",220 pages,4.22,English,Hardcover
First Edition,18658,Lady Friday,Garth Nix,17206,"Four of the seven Trustees have been defeated and their Keys taken, but for Arthur, the week is still getting worse. Suzy Blue and Fred Gold Numbers have been captured by the Piper, and his New Nithling army still controls most of the Great Maze. Superior Saturday is causing trouble wherever she can, including",320 pages,3.91,English,Hardcover
The Deluxe Edition,15158,Batman: Whatever Happened to the Caped Crusader?,Neil Gaiman,5599692, (,128 pages,3.97,English,Hardcover
Revised Edition,15539,The Great Influenza: The Epic Story of the Deadliest Plague in History,John M. Barry,29036,"At the height of WWI, history’s most lethal influenza virus erupted in an army camp in Kansas, moved east with American troops, then exploded, killing as many as 100 million people worldwide. It killed more people in twenty-four months than AIDS killed in twenty-four years, more in a year than the Black Death killed in a century. But this was not the Middle Ages, and 1918 marked the first collision of science and epidemic disease. Magisterial in its breadth of perspective and depth of research and now revised to reflect the growing danger of the avian flu, ",560 pages,3.95,English,Paperback
Large Print,17056,El Zorro,Isabel Allende,24796,"A swashbuckling adventure story that reveals for the first time how Diego de la Vega became the masked man we all know so well Born in southern California late in the eighteenth century, Diego de la Vega is a child of two worlds. His father is an aristocratic Spanish military man turned landowner; his mother, a Shoshone warrior. At the age of sixteen, Diego is sent to Spain, a country chafing under the corruption of Napoleonic rule. He soon joins La Justicia, a secret underground resistance movement devoted to helping the powerless and the poor. Between the New World and the Old, the persona of Zorro is formed, a great hero is born, and the legend begins. After many adventures -- duels at dawn, fierce battles with pirates at sea, and impossible rescues -- Diego de la Vega, a.k.a. Zorro, returns to America to reclaim the hacienda on which he was raised and to seek justice for all who cannot fight for it themselves.",677 pages,3.75,English,Paperback
1st Edition,17200,Out  アウト,Natsuo Kirino,25365,"The ringleader of this cover-up, Masako Katori, emerges as the emotional heart of ",400 pages,3.93,English,Paperback
