title,id,description,Language,bookformat,bookEdition,NumberofRatings,GoodReadAverageRating,author,numberofpages
The Little Sisters of Eluria,6356190,"""The Man in Black fled across the desert and the Gunslinger followed."" This is our intr",English,Hardcover,signed slipcased artist edition,14563,4.24,Stephen King,312 pages
Kushiel's Justice,40217,"Imriel de la Courcel's blood parents are history's most reviled traitors, while his adoptive parents, Phèdre and Joscelin, are Terre d'Ange's greatest champions. Stolen, tortured, and enslaved as a young boy, Imriel is now a Prince of the Blood, third in line for the throne in a land that revels in beauty, art, and desire.",English,Hardcover,First Edition,15648,4.24,Jacqueline Carey,703 pages
What Every Body is Saying: An FBI Agent's Guide to Speed-Reading People,1173576,"Read this book and send your nonverbal intelligence soaring. Joe Navarro, a former FBI counterintelligence officer and a recognized expert on nonverbal behavior, explains how to ""speed-read"" people: decode sentiments and behaviors, avoid hidden pitfalls, and look for deceptive behaviors. You'll also learn how your body language can influence what your boss, family, friends, and strangers think of you. You will discover:",English,Paperback,First Edition,11790,3.9,Joe Navarro,250 pages
Disappearing Acts,122211,"He was tall, dark as bittersweet chocolate, and impossibly gorgeous, with a woman-melting smile. She was pretty and independent, petite and not too skinny, just his type. Franklin Swift was a sometimes-employed construction worker, and a not-quite-divorced daddy of two. Zora Banks was a teacher, singer, songwriter. They met in a Brooklyn brownstone, and there could be no walking away... In this funny, gritty urban love story, Franklin and Zora join the ranks of fiction's most compelling couples, as they move from Scrabble to sex, from layoffs to the limits of faith and trust. Disappearing Acts is about the mystery of desire and the burdens of the past. It's about respect, what it can and can't survive. And it's about the safe and secret places that only love can find. --",English,Paperback,Reissue edition,11646,4.21,Terry McMillan,464 pages
"
                  0785135820
                      ",7025086,"Collects Ender's Game: Command School #1-5. Ender Wiggin may be the only hope that humanity has against an alien race that threatens Earth with annihilation. He's been given his own army, and now commands 40 soldiers in a series of war games in preparation for invasion... and he's only nine years old! The classic sci-fi story heads to its incredible conclusion as Ender takes control of Dragon Army. But Ender is quickly realizing that the aliens may not be his true enemy in Battle School... his Teachers are","
                  ",Hardcover,Graphic Novel,11757,4.6,Christopher Yost,128 pages
Dexter Is Delicious,7469133,. But the,English,Hardcover,1st Edition,15369,3.79,Jeff Lindsay,350 pages
The America's Test Kitchen Family Cookbook,3888,"A revision of the Fall 2005 BookSense pick and bestseller, this edition features a new light recipe chapter, more than 1500 color photos, heavy duty paper and binding, over 2 dozen new recipes, and handy new cooking charts. This instant classic belongs on the shelf of every home cook. Publisher's Weekly called it ""a foolproof, go-to resource for everyday cooking."" The new edition is bound on five rings, shrink-wrapped, and durably packaged.",English,Spiral-bound,Revised Edition,12380,4.31,America's Test Kitchen,726 pages
Job: A Comedy of Justice,355,"Robert Anson Heinlein was an American novelist and science fiction writer. Often called ""the dean of science fiction writers"", he is one of the most popular, influential, and controversial authors of ""hard science fiction"". ",English,Paperback,First Paperback Edition,14958,3.77,Robert A. Heinlein,439 pages
"
                  1607065967
                      ",14744381,This is the perfect collection for any fan of the Emmy Award-winning television series on AMC: over one-thousand pages chronicling the next chapter of Robert Kirkman's Eisner Award-winning continuing story of survi,"
                  ",Paperback,first,13621,4.53,Robert Kirkman,1068 pages
Lady Windermere's Fan,122649,"Beautiful, aristocratic, an adored wife and young mother, Lady Windermere is 'a fascinating puritan' whose severe moral code leads her to the brink of social suicide. The only one who can save her is the mysterious Mrs Erlynne whose scandalous relationship with Lord Windermere has prompted her fatal impulse. And Mrs Erlynne has a secret - a secret Lady Windermere must never know if she is to retain her peace of mind.",English,Paperback,Penguin Popular Classics,15034,3.9,Oscar Wilde,70 pages
