Language,id,title,GoodReadAverageRating,description,author,NumberofRatings
English,1885,Pride and Prejudice,4.24,"“It is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife.” So begins Pride and Prejudice, Jane Austen’s witty comedy of manners—one of the most popular novels of all time—that features splendidly civilized sparring between the proud Mr. Darcy and the prejudiced Elizabeth Bennet as they play out their spirited courtship in a series of eighteenth-century drawing-room intrigues. Renowned literary critic and historian George Saintsbury in 1894 declared it the “most perfect, the most characteristic, the most eminently quintessential of its author’s works,” and Eudora Welty in the twentieth century described it as “irresistible and as nearly flawless as any fiction could be.”",Jane Austen,2212893
English,13335037,Divergent,4.24," playlist, faction manifestos, and more!",Veronica Roth,2241943
English,77203,The Kite Runner ,4.26,"Amir is the son of a wealthy Kabul merchant, a member of the ruling caste of Pashtuns. Hassan, his servant and constant companion, is a Hazara, a despised and impoverished caste. Their uncommon bond is torn by Amir's choice to abandon his friend amidst the increasing ethnic, religious, and political tensions of the dying years of the Afghan monarchy, wrenching them far apart. But so strong is the bond between the two boys that Amir journeys back to a distant world, to try to right past wrongs against the only true friend he ever had.",Khaled Hosseini,1892163
English,960,Angels & Demons ,3.86,A devastating new weapon of destruction.,Dan Brown,2094460
English,5907,The Hobbit : or There and Back Again,4.25, met with instant critical acclaim when it was first published in 1937. Now,J.R.R. Tolkien,2210347
English,48855,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,4.1,"In 1942, with Nazis occupying Holland, a thirteen-year-old Jewish girl and her family fled their home in Amsterdam and went into hiding. For the next two",Anne Frank,2045716
English,6148028,Catching Fire,4.3,"Against all odds, Katniss has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol - a rebellion that Katniss and Peeta may have helped create.",Suzanne Collins,1998635
English,4671,The Great Gatsby,3.89,", F. Scott Fitzgerald’s third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted “gin was the national drink and sex the national obsession,” it is an exquisitely crafted tale of America in the 1920s.",F. Scott Fitzgerald,2801815
English,5470,Nineteen Eighty-Four,4.14," is still the great modern classic of ""negative utopia"" -a startlingly original and haunting novel that creates an imaginary world that is completely convincing, from the first sentence to the last four words. No one can deny t",George Orwell,2078869
English,2429135,Män som hatar kvinnor,4.11,A Sensational #1 Bestseller – Now a Major Motion Picture In Theaters March 2010.,Stieg Larsson,1949650
English,7613,Animal Farm: A Fairy Story,3.87,"As ferociously fresh as it was more than a half century ago, this remarkable allegory of a downtrodden society of overworked, mistreated animals, and their quest to create a paradise of progress, justice, and equality is one of the most scathing satires ever published. As we witness the rise and bloody fall of the revolutionary animals, we begin to recognize the seeds of totalitarianism in the most idealistic organization; and in our most charismatic leaders, the souls of our cruelest oppressors.",George Orwell,2002221
English,11870085,The Fault in Our Stars,4.26,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Haz",John Green,2511874
"
                  ",3438000,ثلاثية غرناطة,4.29,وتدور الأحداث في مملكة غرناطة بعد سقوط جميع الممالك الإسلامية في الأندلس، و تبدأ أحداث الثلاثية في عام 1491م، وهو العام الذي سقطت فيه غرناطة بإعلان المعاهدة التي تنازل بمقتضاها (أبو عبد الله محمد الصغير) آخر ملوك غرناطة عن ملكه لملكي قشتالة وأراجون، وتنت,Radwa Ashour,29318
English,5,Harry Potter and the Prisoner of Azkaban,4.53,"Harry Potter's third year at Hogwarts is full of new dangers. A convicted murderer, Sirius Black, has broken out of Azkaban prison, and it seems he's after Harry. Now Hogwarts is being patrolled by the dementors, the Azkaban guards who are hunting Sirius. But Harry can't imagine that Sirius or, for that matter, the evil Lord Voldemort could be more frightening than the dementors themselves, who have the terrible power to fill anyone they come across with aching loneliness and despair. Meanwhile, life continues as usual at Hogwarts. A top-of-the-line broom takes Harry's success at Quidditch, the sport of the Wizarding world, to new heights. A cute fourth-year student catches his eye. And he becomes close with the new Defense of the Dark Arts teacher, who was a childhood friend of his father. Yet despite the relative safety of life at Hogwarts and the best efforts of the dementors, the threat of Sirius Black grows ever closer. But if Harry has learned anything from his education in wizardry, it is that things are often not what they seem. Tragic revelations, heartwarming surprises, and high-stakes magical adventures await the boy wizard in this funny and poignant third installment of the beloved series.",J.K. Rowling,1988643
"
                  ",8914,The First World War,4.0,"The First World War created the modern world. A conflict of unprecedented ferocity, it abruptly ended the relative peace and prosperity of the Victorian era, unleashing such demons of the twentieth century as mechanized warfare and mass death. It also helped to usher in the ideas that have shaped our times--modernism in the arts, new approaches to psychology and medicine, radical thoughts about economics and society--and in so doing shattered the faith in rationalism and liberalism that had prevailed in Europe since the Enlightenment. With ",John Keegan,9774
English,77431,The Mauritius Command,4.35,"Captain Jack Aubrey is ashore on half pay without a command—until Stephen Maturin arrives with secret orders for Aubrey to take a frigate to the Cape of Good Hope under a commodore's pennant, there to mount an expedition against the French-held islands of Mauritius and La Réunion. But the difficulties of carrying out his orders are compounded by two of his own captains—Lord Clonfert, a pleasure-seeking dilettante, and Captain Corbett, whose severity pushes his crew to the verge of mutiny.",Patrick O'Brian,10808
English,7130616,Bayou Moon,4.09,"Cerise Mar and her unruly clan are cash poor but land rich, claiming a large swathe of the Mire, the Edge swamplands between the state",Ilona Andrews,19067
English,15613,"Billy Budd, Sailor",3.09,"Herman Melville was an American novelist, short story writer, essayist, and poet. His first two books gained much attention, though they were not bestsellers, and his popularity declined precipitously only a few years later. By the time of his death he had been almost completely forgotten, but his longest novel, Moby-Dick — largely considered a failure during his lifetime, and most responsible for",Herman Melville,12200
English,34, The Fellowship of the Ring,4.34,"In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth,",J.R.R. Tolkien,1849840
