GoodReadAverageRating,numberofpages,author,bookformat,NumberofRatings,Language,description,id,bookEdition,title
4.26,391 pages,Khaled Hosseini,Paperback,1892163,English,"Amir is the son of a wealthy Kabul merchant, a member of the ruling caste of Pashtuns. Hassan, his servant and constant companion, is a Hazara, a despised and impoverished caste. Their uncommon bond is torn by Amir's choice to abandon his friend amidst the increasing ethnic, religious, and political tensions of the dying years of the Afghan monarchy, wrenching them far apart. But so strong is the bond between the two boys that Amir journeys back to a distant world, to try to right past wrongs against the only true friend he ever had.",77203,Riverhead trade paperback edition,The Kite Runner 
3.86,713 pages,Dan Brown,Mass Market Paperback,2094460,English,A devastating new weapon of destruction.,960,Pocket Books Premium Edition,Angels & Demons 
4.26,324 pages,Harper Lee,Paperback,3363373,English,"Compassionate, dramatic, and deepl",2657,50th Anniversary,To Kill a Mockingbird
4.14,328 pages,George Orwell,Mass Market Paperback,2078869,English," is still the great modern classic of ""negative utopia"" -a startlingly original and haunting novel that creates an imaginary world that is completely convincing, from the first sentence to the last four words. No one can deny t",5470,Signet Classics,Nineteen Eighty-Four
4.11,465 pages,Stieg Larsson,Hardcover,1949550,English,A Sensational #1 Bestseller – Now a Major Motion Picture In Theaters March 2010.,2429135,1st edition,Män som hatar kvinnor
4.24,279 pages,Jane Austen,Paperback,2212893,English,"“It is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife.” So begins Pride and Prejudice, Jane Austen’s witty comedy of manners—one of the most popular novels of all time—that features splendidly civilized sparring between the proud Mr. Darcy and the prejudiced Elizabeth Bennet as they play out their spirited courtship in a series of eighteenth-century drawing-room intrigues. Renowned literary critic and historian George Saintsbury in 1894 declared it the “most perfect, the most characteristic, the most eminently quintessential of its author’s works,” and Eudora Welty in the twentieth century described it as “irresistible and as nearly flawless as any fiction could be.”",1885,Modern Library Classics,Pride and Prejudice
4.3,391 pages,Suzanne Collins,Hardcover,1998635,English,"Against all odds, Katniss has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol - a rebellion that Katniss and Peeta may have helped create.",6148028,"First Edition, US / Canada",Catching Fire
3.68,302 pages,Melissa de la Cruz,Hardcover,121386,English,"When the Mayflower set sail in 1620, it carried on board the men and women who would shape America: Miles Standish; John Alden; Constance Hopkins. But some among the Pilgrims were not pure of heart; they were not escaping religious persecution. Indeed, they were not even human. They were vampires.The vampires assimilated quickly into the New World. Rising to levels of enormous power, wealth, and influence, they were the celebrated blue bloods of American society. ",872333,1st Edition,Blue Bloods
4.05,498 pages,Caleb Carr,Paperback,101598,English," was first published in 1994, it was a major phenomenon, spending six months on the ",40024,Reprint Edition,The Alienist
4.59,1728 pages,J.R.R. Tolkien,Mass Market Paperback,94859,English, and the three volumes of ,30,Hobbit Movie Tie-in Boxed set,The Hobbit and The Lord of the Rings
4.42,863 pages,Robert Jordan,Hardcover,98883,English,The sun has begun to set upon the Third Age.,8253920,First Edition,Towers of Midnight
4.3,215 pages,Colleen Hoover,ebook,124770,                                  ,"Layken and Will have proved their love can get them through anything; until someone from Will’s past re-emerges, leaving Layken questioning the very foundation on which their relationship was built. Will is forced to face the ultimate challenge…how to prove his love for a girl who refuses to stop ‘carving pumpkins.’",13496084,1st Edition,Point of Retreat
4.43,2088 pages,L.M. Montgomery,Paperback,93186,English,"Includes Anne of Green Gables, Anne of Avonlea, Anne of the Island, Anne of Windy Poplars, Anne's House of Dreams, Anne of Ingleside, Rainbow Valley and Rilla of Ingleside - the whole co",3579,Boxed Set,The Complete Anne of Green Gables Boxed Set
4.35,783 pages,Robert Jordan,Hardcover,101100,English,"Robert Jordan was the pen name of James Oliver Rigney, Jr., under which he was best known as the author of the bestselling The Wheel of Time fantasy series. He also wrote under the names ",1166599,First,The Gathering Storm
