id,numberofpages,description,bookEdition,author,title,GoodReadAverageRating,NumberofRatings,Language,bookformat
1885,279 pages,"“It is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife.” So begins Pride and Prejudice, Jane Austen’s witty comedy of manners—one of the most popular novels of all time—that features splendidly civilized sparring between the proud Mr. Darcy and the prejudiced Elizabeth Bennet as they play out their spirited courtship in a series of eighteenth-century drawing-room intrigues. Renowned literary critic and historian George Saintsbury in 1894 declared it the “most perfect, the most characteristic, the most eminently quintessential of its author’s works,” and Eudora Welty in the twentieth century described it as “irresistible and as nearly flawless as any fiction could be.”",Modern Library Classics,Jane Austen,Pride and Prejudice,4.24,2212893,English,Paperback
6148028,391 pages,"Against all odds, Katniss has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol - a rebellion that Katniss and Peeta may have helped create.","First Edition, US / Canada",Suzanne Collins,Catching Fire,4.3,1998635,English,Hardcover
960,713 pages,A devastating new weapon of destruction.,Pocket Books Premium Edition,Dan Brown,Angels & Demons ,3.86,2094460,English,Mass Market Paperback
77203,391 pages,"Amir is the son of a wealthy Kabul merchant, a member of the ruling caste of Pashtuns. Hassan, his servant and constant companion, is a Hazara, a despised and impoverished caste. Their uncommon bond is torn by Amir's choice to abandon his friend amidst the increasing ethnic, religious, and political tensions of the dying years of the Afghan monarchy, wrenching them far apart. But so strong is the bond between the two boys that Amir journeys back to a distant world, to try to right past wrongs against the only true friend he ever had.",Riverhead trade paperback edition,Khaled Hosseini,The Kite Runner ,4.26,1892163,English,Paperback
2429135,465 pages,A Sensational #1 Bestseller – Now a Major Motion Picture In Theaters March 2010.,1st edition,Stieg Larsson,Män som hatar kvinnor,4.11,1949550,English,Hardcover
5470,328 pages," is still the great modern classic of ""negative utopia"" -a startlingly original and haunting novel that creates an imaginary world that is completely convincing, from the first sentence to the last four words. No one can deny t",Signet Classics,George Orwell,Nineteen Eighty-Four,4.14,2078869,English,Mass Market Paperback
7260188,392 pages,It is by design that Katniss was rescued fr,First Edition,Suzanne Collins,Mockingjay,4.03,1881176,English,Hardcover
8253920,863 pages,The sun has begun to set upon the Third Age.,First Edition,Robert Jordan,Towers of Midnight,4.42,98883,English,Hardcover
40024,498 pages," was first published in 1994, it was a major phenomenon, spending six months on the ",Reprint Edition,Caleb Carr,The Alienist,4.05,101598,English,Paperback
872333,302 pages,"When the Mayflower set sail in 1620, it carried on board the men and women who would shape America: Miles Standish; John Alden; Constance Hopkins. But some among the Pilgrims were not pure of heart; they were not escaping religious persecution. Indeed, they were not even human. They were vampires.The vampires assimilated quickly into the New World. Rising to levels of enormous power, wealth, and influence, they were the celebrated blue bloods of American society. ",1st Edition,Melissa de la Cruz,Blue Bloods,3.68,121386,English,Hardcover
30,1728 pages, and the three volumes of ,Hobbit Movie Tie-in Boxed set,J.R.R. Tolkien,The Hobbit and The Lord of the Rings,4.59,94859,English,Mass Market Paperback
13496084,215 pages,"Layken and Will have proved their love can get them through anything; until someone from Will’s past re-emerges, leaving Layken questioning the very foundation on which their relationship was built. Will is forced to face the ultimate challenge…how to prove his love for a girl who refuses to stop ‘carving pumpkins.’",1st Edition,Colleen Hoover,Point of Retreat,4.3,124770,                                  ,ebook
1166599,783 pages,"Robert Jordan was the pen name of James Oliver Rigney, Jr., under which he was best known as the author of the bestselling The Wheel of Time fantasy series. He also wrote under the names ",First,Robert Jordan,The Gathering Storm,4.35,101100,English,Hardcover
