author,bookformat,Language,numberofpages,GoodReadAverageRating,bookEdition,id,NumberofRatings,title,description
Simone Schwarz-Bart,Mass Market Paperback,French,285 pages,4.0,Points,1101090,18,Between Two Worlds (Caribbean Writers),"« On peut lire Ti Jean L""horizon comme une aventure extraordinaire, un conte d""amour, une histoire de sorcellerie, un ouvrage de science-fiction où la Bête jouerait le rôle de machine à remonter le temps ; mais c""est aussi une quête de l""identité, un voyage que j""aurais fait au bout de ma nuit antillaise, pour tenter de l""exorciser. Comme mon héros, j""aimerais dire que je ne suis qu""un enfant et le monde un moulin à mystères. »"
Daphne du Maurier,Hardcover,English,253 pages,3.93,Book Club Edition,1629048,9271,Frenchman's Creek,But even the fre
Charlaine Harris,Paperback,English,404 pages,3.96,Large Print,491309,446560,Dead Until Dark,"Sookie Stackhouse is a small-time cocktail waitress in small-town Louisiana. She's quiet, keeps to herself, and doesn't get out much. Not because she's not pretty. She is. It's just that, well, Sookie has this sort of ""disability."" She can read minds. And that doesn't make her too dateable. And then along comes Bill. He's tall, dark, handsome--and Sookie can't hear a word he's thinking. He's exactly the type of guy she's been waiting for all her life...."
Samuel Taylor Coleridge,Paperback,English,48 pages,3.93,Large Print,2302985,40070,The Rime of the Ancient Mariner,"Samuel Taylor Coleridge was an English poet, critic, and philosopher who was, along with his friend William Wordsworth, one of the founders of the Romantic Movement in England and one of the Lake Poets. He is probably best known for his poems "
David Bordwell,Unknown Binding,English,532 pages,4.03,Seventh Edition,72363,1621,Film Art: An Introduction,"This fourth edition is a revision of the successful introduction to film appreciation and aesthetics. It begins with an overview of film production, moves on to a consideration of the formal elements and techniques, covers film criticism and concludes with a brief section highlighting the key moments in film history. Illustrated with over 500 frame enlargements, many in colour, ""Film Art"" has been updated to include analysis of some of the most interesting films of recent years including ""Raging Bull"" and ""Desperately Seeking Susan""."
Gianni Biondillo,ebook,Italian,11 pages,3.13,Zoom,22017733,15,L'angelo e il pitbull,"Un Angelo è caduto sui marciapiedi di Quarto Oggiaro. Dove guardava Dio in quel momento, mentre Graziella Girgenti precipitava? Un mistero legato a una porta chiusa e alla sua chiave scomparsa, ai segni viola lasciati da grani di un rosario, agli abiti avvolti nel cellophane con cura devota. Un mistero che riconduce a Marco, il Pitbull del quartiere, uscito di gabbia senza mai conoscere affetto o devozione. La storia di una donna che non ha mai smesso di credere e di un uomo che non rispetta nè le leggi degli uomini nè quelle delle bestie."
Bryan Lee O'Malley,Hardcover,English,179 pages,4.18,Color Edition,14080417,132416,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life","Just when you thought you knew all there was to know about Scott Pilgrim comes Scott Pilgrim Color Hardcover Volume 1: Precious Little Life! The first in a series of brand-new hardcover editions, this remastered, 6""x9"" hardcover presents Scott's first ""evil ex"" battle as you've never seen it before - in full-color! Plus, previously unpublished extras and bonus materials make this mighty tome one that's required reading for Scottaholics everywhere!"
Heinrich Böll,Paperback,Italian,146 pages,3.69,Nuovi Coralli #246,15506975,8044,Die verlorene Ehre der Katharina Blum oder: Wie Gewalt entsteht und wohin sie führen kann,"Mercoledì 20 febbraio 1974, vigilia di carnevale, Katharina Blum, 27 anni, cameriera presso una famiglia della buona borghesia di Colonia, esce di casa per recarsi a una festa da ballo. Quattro giorni dopo suona alla porta del commissario Moeding, “intento a travestirsi da sceicco per ragioni private ma di servizio”, e gli confessa di aver ucciso a colpi di pistola il giornalista Werner Tötges."
Homer,Paperback,Spanish,224 pages,3.73,Cátedra Base,2514798,715062,Ὀδύσσεια,"'Muse, tell me of a man: a man of much resource, who was made to wander far and long, after he had sacked the sacred city of Troy. Many were the men whose lands he saw and came to know their thinking: many too the miseries at sea, which he suffered in his heart, as he sought to win his own life and the safety of his companions.' Recounting the epic journey home of Odysseus from the Trojan War, "
Vladimir Nabokov,Paperback,Spanish,480 pages,4.15,Panorama de narrativas,1654509,7664,Ada or Ardor: A Family Chronicle,"Publicada dos semanas después del setenta aniversario de Nabokov, ""Ada o el ardor"" supone la cumbre de la narrativa de uno de los autores más relevantes del siglo XX. En ella se aborda la singular crónica familiar e historia de amor (incestuoso), de Ada y Veen, dos hermanos que, habiendo crecido separados creen que su parentesco es más lejano del que en realidad es y por ello, siendo ambos adolescentes, se atreven a cruzar la línea y mantener un encuentro sexual en la finca familiar de Ardis (el Jardín del Edén), que supone el inicio de un idilio que a lo largo de los años será rico en encuentros y desencuentros. Con motivo del noventa y siete cumpleaños de Van, inmersos en la más placentera nostalgia, contemplan los distintos avatares de su amor convencidos de que la felicidad y el éxtasis más ardoroso están al alcance de la mano de todo aquel que conserve el arte de la memoria."
Gianni Clerici,Paperback,Italian,122 pages,2.33,Le Vele,6478850,6,Erba rossa,"Un cronista sportivo e il suo giovane amico Pigi, studente idealista e inquieto, oltrepassano la Cortina di Ferro per assistere all'incontro di Coppa Davis tra la nazionale italiana e quella ceca. L'esperienza si trasformerà presto in un viaggio iniziatico che assume lo spessore del confronto con se stessi e con quella realtà dell'Est comunista finora mai toccata con mano, ma soltanto vissuta come problematico oggetto al centro del dibattito e dello scontro storico-ideologico. Sarà una Coppa Davis amara per gli azzurri, con i nostri Merlo e Pietrangeli sconfitti dai meno blasonati tennisti cechi, ma il soggiorno a Praga dei nostri proseguirà in una girandola di incontri con un'umanità varia e colorita, in una Praga struggente e venata di nostalgia."
Jimmy Stewart,Audio Cassette,English,0 pages,3.76,Abridged,2019627,241,Jimmy Stewart and His Poems,"James Maitland ""Jimmy"" Stewart (May 20, 1908 – July 2, 1997) was an American film and stage actor, best known for his self-effacing persona. Over the course of his career, he starred in many films widely considered classics and was nominated for five Academy Awards, winning one in competition and receiving one Lifetime Achievement award. He was a major MGM contract star. He also had a noted milita"
Leslie Kelly,Mass Market Paperback,English,256 pages,3.82,Harlequin Blaze #280,575142,247,Asking For Trouble ,"New York Times Bestselling author, Leslie Kelly writes sexy romances and dark romantic thrillers. A four-time RWA RITA Award nominee, eleven-time Romantic Times Award nominee and 2006 RT Award winner, Leslie has become known for her delightful characters, sparkling dialogue"
Sara  Lewis,Paperback,Dutch,144 pages,3.36,TIP Culinair,15702658,25,The Bread Book: The Definitive Guide to Making Bread By Hand or Machine,Sara Lewis is a professional food stylist and home economist.
John Brunner,Paperback,English,280 pages,3.97,#24853,882883,3011,The Shockwave Rider,Cover Artist: Murray Tinkelman
Irfan Habib,Paperback,English,292 pages,4.1,1,25675111,10,Medieval India : The Study of a Civilization,"The period spanning 600 AD to 1750 AD is perceived as the long phase of India's transition from the ancient to the immediately pre-colonial times. The book tells the story of medieval India, a defining and eventful chapter in the making of its cultural and political history. It is a period marked by a multiplicity of states, spread of urbanisation, foreign invasions, growth of science and technology, achievements in literature and philosophy as well as consolidation of the subcontinent. Drawing upon primary materials, archival records, historical narratives and accounts of travellers and European commercial records, the book is an authoritative introduction to this era."
