Language,numberofpages,author,bookEdition,description,title,GoodReadAverageRating,bookformat,NumberofRatings,id
English,324 pages,Harper Lee,50th Anniversary,"Compassionate, dramatic, and deepl",To Kill a Mockingbird,4.26,Paperback,3363373,2657
English,713 pages,Dan Brown,Pocket Books Premium Edition,A devastating new weapon of destruction.,Angels & Demons ,3.86,Mass Market Paperback,2094460,960
English,374 pages,Suzanne Collins,First Edition,"The nation of Panem, formed from a post-apocalyptic North America, is a country that consists of a wealthy Capitol region surrounded by 12 poorer districts. Early in its history, a rebellion led by a 13th district against the Capitol resulted in its destruction and the creation of an annual televised event known as the Hunger Games. In punishment, and as a reminder of the power and grace of the Capitol, each district must yield one boy and one girl between the ages of 12 and 18 through a lottery system to participate in the games. The 'tributes' are chosen during the annual Reaping and are forced to fight to the death, leaving only one survivor to claim victory.",The Hunger Games,4.34,Hardcover,4991107,2767052
English,391 pages,Khaled Hosseini,Riverhead trade paperback edition,"Amir is the son of a wealthy Kabul merchant, a member of the ruling caste of Pashtuns. Hassan, his servant and constant companion, is a Hazara, a despised and impoverished caste. Their uncommon bond is torn by Amir's choice to abandon his friend amidst the increasing ethnic, religious, and political tensions of the dying years of the Afghan monarchy, wrenching them far apart. But so strong is the bond between the two boys that Amir journeys back to a distant world, to try to right past wrongs against the only true friend he ever had.",The Kite Runner ,4.26,Paperback,1892163,77203
English,279 pages,Jane Austen,Modern Library Classics,"“It is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife.” So begins Pride and Prejudice, Jane Austen’s witty comedy of manners—one of the most popular novels of all time—that features splendidly civilized sparring between the proud Mr. Darcy and the prejudiced Elizabeth Bennet as they play out their spirited courtship in a series of eighteenth-century drawing-room intrigues. Renowned literary critic and historian George Saintsbury in 1894 declared it the “most perfect, the most characteristic, the most eminently quintessential of its author’s works,” and Eudora Welty in the twentieth century described it as “irresistible and as nearly flawless as any fiction could be.”",Pride and Prejudice,4.24,Paperback,2212893,1885
English,319 pages,Ian Mortimer,first edition,AKA ,The Time-Traveller's Guide to Medieval England: A Handbook for Visitors to the Fourteenth Century,3.99,Audiobook,12244,4936457
English,824 pages,John Rawls,Original Edition,"Rawls aims to express an essential part of the common core of the democratic tradition - justice as fairness - and to provide an alternative to utilitarianism, wh",A Theory of Justice,3.91,Paperback,9161,129237
English,816 pages,Jeffery Deaver,Large print edition,"A high-school girl in Harlem, Geneva Settle, is the target of a ruthless professional killer—Thompson Boyd—who has been hired to murder her for reasons unknown. His first attempt, in a deserted museum early one morning, is a failure but it’s clear to Lincoln Rhyme that he’s going to strike again, from clues the killer leaves behind, one of which is the twelfth card in the tarot deck, The Hanged Man, whose meaning resonates eerily throughout the story.",The Twelfth Card,3.98,Hardcover,12261,106312
                                  ,217 pages,Melody Anne,second edition,Jasmine grew up wealthy and oblivious to the destruction her father caused all around him. Derek was from the wrong side of the track,B005LVV5LQ,3.87,Kindle Edition,17736,12602078
English,248 pages,Clive Barker,First Edition,"The Mister B. of the title is Jakabob Botch, a demon whose ghastly past could make even the most merciless sociopath whimper in sympathy. Born in the deepest regions of hell, the spawn of an abusive drunkard and his whorish wife, Jakabob escapes to the world above after suffering fiendish torture. Once topside, he lands conveniently in 15th-century Mainz, the home of printing inventor Johannes Gutenberg. However, Mister B. isn't interested in merely observing history; like any other self-respecting diabolical being, he's just searching for a new demonic angle. A ghoulishly good fright fest.",Mister B. Gone,3.32,Hardcover,10600,1011632
"
                  ",106 pages,Hugh Howey,1st Edition,"A cleaning has been performed, and now the silo is without a sheriff. With only one good candidate available, Mayor Jahns and Deputy Mames set off for the Down Deep to recruit her in person. Along the way, they discover much about each other, troubling news about this candidate, and stumble upon fractured alliances that could spell the doom of a silo they've worked long years to protect.",Wool 2: Proper Gauge,4.15,Kindle Edition,10328,13178410
Italian,64 pages,Alessandro Baricco,Universale Economica #1302," era un piroscafo. Negli anni tra le due guerre faceva la spola tra Europa e America, con il suo carico di miliardari, di emigranti e di gente qualsiasi. Dicono che sul ",Novecento,4.19,Paperback,11920,61266
English,241 pages,Darren Shan,First U.S. Paperback Edition,Librarian's note: Also writes books for adults under the name ,Demon Thief,4.14,Paperback,11804,53168
English,422 pages,Charles Frazier,First Trade,"At the age of twelve, an orphan named Will Cooper is given a horse, a key, and a map and is sent on a journey through the uncharted wilderness of the Cherokee Nation. Will is a bound boy, obliged to run a remote Indian trading post. As he fulfills his lonesome duty, Will finds a father in Bear, a Cherokee chief, and is adopted by him and his people, developing relationships that ultimately forge Will’s character. All the while, his love of Claire, the enigmatic and captivating charge of volatile and powerful Featherstone, will forever rule Will’s heart. In a voice filled with both humor and yearning, Will tells of a lifelong search for home, the hunger for fortune and adventure, the rebuilding of a trampled culture, and above all an enduring pursuit of passion.",Thirteen Moons,3.64,Hardcover,10176,33896
English,328 pages,George Orwell,Signet Classics," is still the great modern classic of ""negative utopia"" -a startlingly original and haunting novel that creates an imaginary world that is completely convincing, from the first sentence to the last four words. No one can deny t",Nineteen Eighty-Four,4.14,Mass Market Paperback,2078869,5470
English,415 pages,W.G. Sebald,UK,"In 1939, five-year-old Jacques Austerlitz is sent to England on a Kindertransport and placed with foster parents. This childless couple promptly erase from the boy all knowledge of his identity and he grows up ignorant of his past. Later in life, after a career as an architectural historian, Austerlitz - having avoided all clues that might point to his origin - finds the past returning to haunt him and he is forced to explore what happened fifty years before...",Austerlitz,4.04,Paperback,9974,88442
English,432 pages,Jack Kerouac,First Riverhead trade paperback edition," in 1957, Jack Kerouac became at once the spokesman and hero of the Beat Generation. Along with such visionaries as William S. Burroughs, Neal Cassady, and Allen Ginsberg, Kerouac changed the face of American literature, igniting a counterculture revolution that even now, decades later, burns brighter than ever in ",Desolation Angels,3.92,Paperback,9216,10461
English,32 pages,Else Holmelund Minarik,I Can Read,"Else Holmelund Minarik was the author of the Little Bear series of children's books, which were successful as books, and were also made into a successful children's TV series. The Little Bear books sold more than 6 million copies worldwide.",A Kiss for Little Bear,4.31,Paperback,11648,201145
English,878 pages,H.P. Lovecraft,"Commemorative Edition, first printing","Howard Phillips Lovecraft, of Providence, Rhode Island, was an American author of horror, fantasy and science fiction.",The Necronomicon,4.29,Hardcover,9603,1335019
English,128 pages,Jeff Lemire,Trade,"Jeff Lemire's acclaimed new series introduce Gus, a rare new breed of human/animal hybrid who was raised in isolation following a pandemic that struck a decade earlier. Now, with the death of his father, he's left to fend for himself . . . until he meets a hulking drifter named Jepperd, who promises to help him. Jepperd and Gus set out on a post-apocalyptic journey into the devastated American landscape to find 'The Preserve,' a refuge for hybrids.","Sweet Tooth, Volume 1: Out of the Deep Woods",3.9,Paperback,11553,6954438
English,10 pages,Gretchen Rubin,eAudiobook,"One Sunday afternoon, as she unloaded the dishwasher, Gretchen Rubin felt hit by a wave of homesickness. Homesick—why? She was standing right in her own kitchen. She felt homesick, she realized, with love for home itself","Happier at Home: Kiss More, Jump More, Abandon a Project, Read Samuel Johnson, and My Other Experiments in the Practice of Everyday Life",3.48,Audiobook,12131,13414599
English,422 pages,Jana Oliver,UK Edition," Seventeen-year-old Riley, the only daughter of legendary demon trapper Paul Blackthorne, has always dreamed of following in her father's footsteps.  The good news is, with human society seriously disrupted by economic upheaval and Lucifer increasing the number of de",The Demon Trapper's Daughter,4.0,Paperback,17003,8534899
English,398 pages,Friedrich Nietzsche,Vintage Books,"Walter Kaufmann's commentary, with its many quotations from previously untranslated letters, brings to life Nietzsche as a human being and illuminates his ph",Die fröhliche Wissenschaft,4.26,Mass Market Paperback,9888,94578
English,266 pages,R.L. Mathewson,Kobo,"Elizabeth knows what’s expected of her, perfection. She’s the daughter of an Earl and expected to marry well, say and do the right things with a smile on her face when inside she’s dying for a chance to escape. Thanks to an inheritance her godmother left her years ago, her chance will come with her next birthday. Her hopes of escape abruptly end when Robert, her childhood nemesis that she hasn't seen in over fourteen years, comes back into her life and does everything he can to drive her out of her mind even as he steals her heart. ",Truce,4.34,ebook,21509,17352874
English,384 pages,Kate Hamer,UK edition,"Carmel Wakeford becomes separated from her mother at a local children's festival, and is found by a man who claims to be her estranged grandfather. He tells her that her mother has had an accident and that she is to live with him for now. As days",The Girl in the Red Coat,3.53,Hardcover,11260,23289469
English,192 pages,Gabriel García Márquez,First Perennial Classics Edition,"""The stories are rich and startling in their matter and confident in their manner....They are--the word cannot be avoided--magical.""--John Updike, ",La increíble y triste historia de la cándida Eréndira y de su abuela desalmada,3.89,Paperback,10332,31741
English,1312 pages,Edward Gibbon,abridged,Introduction by Daniel J. Boorstin,The History of the Decline and Fall of the Roman Empire,3.96,Paperback,9818,19400
English,467 pages,Thomas Merton,First Harvest edition,"Thomas Merton was one of the most influential Catholic authors of the 20th century. A Trappist monk of the Abbey of Our Lady of Gethsemani, in the American state of Kentucky, Merton was an acclaimed Catholic spiritual writer, poet, author and social activist. Merton wrote over 60 books, scores of essays and reviews, and is the ongoing subject of many biographies. Merton was also a proponent of inter-religious dialogue, engaging in spiritual dialogues with the Dalai Lama, Thich Nhat Hanh and D. T. Suzuki. His life and career were suddenly cut short at age 53, when he was electrocuted stepping out of his bath.",The Seven Storey Mountain,4.16,Paperback,10299,175078
English,323 pages,Jennifer Rush,First Edition,"Everything about Anna’s life is a secret. Her father works for the Branch at the helm of its latest project: monitoring and administering treatments to the four genetically altered boys in the lab below their farmhouse. There’s Nick, Cas, Trev . . . and Sam, who has stolen Anna’s heart. When the Branch decides it’s time to take the boys, Sam stages an escape, killing the agents sent to retrieve them. ",Altered,4.04,Hardcover,17069,10859509
English,240 pages,Chuck Palahniuk,First Edition,", the classic portrait of the damaged contemporary male psyche, now comes this novel about the apocalyptic marketing possibilities of a new product that gives new meaning to the term ""self-help."" ",Beautiful You,2.98,Hardcover,10202,19523454
English,283 pages,Melissa Senate,1st Edition,"I'm the author of many novels, including my debut, SEE JANE DATE (also available in cute TV movie form on DVD) and THE LOVE GODDESS' COOKING SCHOOL. I've had two novels published under a secret pen name, but I will happily share if you message me to ask!",See Jane Date,3.5,Paperback,9493,835155
English,419 pages,Alexandra Adornetto,First Edition,"At a time when they believe nothing will come between them again, they are faced with their most daunting challenge ye",Heaven,3.91,Hardcover,15241,13056511
"
                  ",514 pages,Oliver Pötzsch,US Edition,"1662: Jakob Kuisl, the hangman of a village in the Alps, receives a letter from his sister calling him to the imperial city of Regensburg, where a gruesome sight awaits him: her throat has been slit. When the city constable discovers Kuisl alongside the corpse she locks him in a dungeon, where Kuisl will experience first-hand the torture he’s administered himself for years. As nightmares assail him, Kuisl can only hope to prevail on the Regensburg executioner to show mercy to a fellow hangman. Kuisl’s steely daughter, Magdalena, and her young doctor paramour, Simon, rush to Regensburg and try to save Jakob, enlisting an underground network of beggars, a beer-brewing monk, and an Italian playboy for help. Navigating the labyrinthine city, they learn there is much more behind the false accusation than a personal vendetta: there is a plan that will endanger the entire German Empire.Chock-full of fascinating historical detail, The Beggar King brings to vibrant life another tremendous tale of an unlikely hangman and his tough-as-nails daughter, confirming Pötzsch’s mettle as a storyteller at the height of his powers.","Die Henkerstochter und der König der Bettler (Band 3 aus der Reihe ""Die Henkerstochter-Saga"")",3.95,Kindle Edition,11412,15776904
English,381 pages,Agatha Christie,"Unabridged, Mystery Masters Series","The owner arrives home and denies that the clocks belong to her, the deceased's business card turns out to be a fraud, and a woman shows up claiming to be the dead man",The Clocks,3.71,Audio Cassette,15635,388018
"
                ",154 pages,محمد صادق,الثانية,ما الذي يمكن أن يحدث؟؟..,بضع ساعات في يوم ما,3.14,Paperback,7934,13151283
English,228 pages,Alice Clayton,1st Edition,"As their careers catch fire, Grace and Jack -- everyone’s favorite foul-mouthed, funny, and feisty couple -- find themselves on opposite coasts. Grace has landed in New York City, where she loves being onstage again, particularly because she’s playing a fabulous character in a musical written by her old college flame, Michael. Their rekindled friendship makes exploring the city that much more fun. ",The Redhead Revealed,4.2,Paperback,17425,9399336
